sup\jng,Xin Zhao,Jarvan IV,Vi,Wukong,Pantheon,Nocturne,Dr. Mundo,Lee Sin,Naafiri,Aatrox,Skarner,Trundle,Ambessa,Zaahen,Qiyana,Jayce,Sejuani,Malphite,Viego,Maokai,Poppy,Kha'Zix,Jax,Nidalee,Olaf,Rek'Sai,Sylas,Volibear,Zyra,Shen,Kindred,Taliyah,Diana,Gwen,Lillia,Graves,Hecarim,Ivern,Nunu & Willump,Shyvana,Zac,Darius,Brand,Karthus,Morgana,Zed,Amumu,Bel'Veth
Nautilus,+0.1534,+0.1563,+0.2999,+0.1601,+0.5137,+0.0798,+0.1065,+0.3344,+0.3351,+0.2564,+0.0768,-0.0109,+0.4385,+0.4357,+0.4628,+0.5533,-0.0105,+0.3412,+0.0694,+0.3542,+0.2803,+0.2743,+0.2486,+0.3688,+0.1090,+0.3366,+0.1803,+0.2768,+0.4188,+0.1396,+0.2999,+0.5477,+0.5218,+0.3768,+0.3840,+0.4477,+0.4287,+0.6038,+0.5714,+0.3024,+0.4320,+0.4358,+0.5285,+0.4763,+0.4599,+0.4436,+0.3393,+0.3854
Lulu,+0.1117,-0.0491,-0.1558,+0.0535,+0.0126,-0.0927,+0.1037,+0.0898,-0.1512,+0.1070,+0.0868,-0.1034,+0.0337,+0.1028,+0.0178,-0.0703,-0.1024,+0.1583,+0.0315,+0.1635,+0.5250,-0.0112,+0.1627,+0.1526,+0.2329,+0.1211,+0.2058,+0.2822,+0.0420,+0.3228,+0.2361,+0.2878,+0.1807,+0.0429,+0.2459,+0.1566,+0.2635,+0.1393,+0.1865,+0.2305,+0.0976,+0.3911,+0.2073,+0.3491,+0.4400,+0.2178,+0.0762,+0.2315
Bard,-0.0317,+0.2059,+0.2309,-0.2373,+0.0613,-0.0003,-0.0174,-0.1462,+0.0642,-0.1200,-0.1227,+0.2335,+0.0235,+0.1776,-0.0532,+0.2919,-0.1929,+0.1146,-0.1535,+0.0250,+0.1446,+0.0855,+0.0022,+0.1716,+0.1487,+0.0619,+0.0588,-0.0107,+0.2379,+0.0756,+0.1824,+0.3512,+0.2201,+0.0651,+0.3807,+0.1796,+0.1534,+0.3111,+0.2239,+0.2407,+0.0661,+0.2900,+0.3432,+0.2594,+0.3430,+0.1124,+0.2667,+0.1428
Nami,+0.0628,-0.0326,-0.3851,-0.2611,-0.0699,-0.2628,-0.0756,-0.2175,-0.1639,+0.0631,-0.0558,+0.0422,-0.1406,-0.0065,-0.0137,+0.0289,-0.3584,+0.1869,-0.1912,-0.2037,+0.1499,+0.0265,+0.0128,+0.2188,+0.1490,-0.0015,+0.0739,+0.1603,+0.1059,+0.1014,+0.0995,+0.0745,+0.1932,+0.1080,+0.0564,+0.0886,+0.1424,+0.0363,+0.1291,+0.1931,+0.2291,+0.3156,+0.2813,+0.1814,+0.3475,+0.0450,+0.2234,+0.2047
Neeko,-0.1445,-0.1960,-0.1992,-0.1505,+0.0264,-0.0820,-0.1351,-0.2856,-0.0338,+0.0146,-0.1224,+0.1670,+0.1923,+0.4388,+0.4205,+0.3288,-0.1622,+0.3090,-0.2426,-0.0499,+0.3088,+0.2007,+0.1332,+0.2593,+0.3486,+0.4442,-0.0981,+0.0296,+0.4415,+0.4781,+0.1638,+0.3712,+0.4538,+0.2544,+0.2908,+0.5176,+0.5427,+0.1792,+0.5590,+0.6627,+0.4873,+0.5284,+0.3606,+0.5740,+0.6250,+0.2188,+0.4916,+0.5898
Karma,-0.2118,-0.3104,-0.3184,-0.1697,-0.2068,-0.1776,-0.0926,-0.1473,+0.0309,+0.0271,-0.1609,+0.2232,+0.1008,+0.2073,+0.0538,+0.1547,-0.1226,+0.1172,-0.1089,-0.0708,+0.3532,+0.1467,+0.0819,+0.3287,+0.2569,+0.2036,+0.1364,+0.2250,+0.2360,+0.1526,+0.1971,+0.2839,+0.3364,+0.3338,+0.4485,+0.2629,+0.2108,+0.3530,+0.4090,+0.4465,+0.3402,+0.4584,+0.4370,+0.3737,+0.5871,+0.2263,+0.2979,+0.3503
Seraphine,-0.2984,-0.4818,-0.2453,-0.3875,-0.2125,-0.3509,+0.0848,-0.1329,-0.1602,-0.1291,-0.3907,-0.0799,-0.1978,+0.0002,-0.1213,-0.0594,-0.2106,+0.0104,-0.1628,-0.1471,+0.0600,-0.0324,-0.0244,+0.0953,+0.0216,+0.1687,-0.1941,+0.0364,+0.0974,+0.1192,+0.2024,+0.0095,+0.1383,+0.0289,+0.1041,+0.0762,+0.0726,+0.1629,+0.0986,+0.2182,+0.2034,+0.1964,+0.3009,+0.1815,+0.3272,+0.1540,+0.2278,+0.2014
Rakan,+0.2897,+0.1983,+0.5115,+0.1698,+0.3378,+0.4425,+0.3522,+0.1952,+0.2742,+0.2586,+0.4173,+0.3361,+0.3468,+0.3386,+0.3489,+0.3091,+0.2144,+0.2910,+0.2295,+0.1837,-0.5112,+0.2703,+0.2132,+0.3744,+0.1690,+0.3193,+0.0746,+0.2830,+0.3596,+0.2162,+0.1196,+0.0748,+0.4066,+0.4558,+0.3279,+0.3194,+0.3615,+0.3031,+0.2697,+0.2991,+0.3149,+0.2631,+0.2710,+0.3378,+0.2697,+0.2487,+0.2184,+0.3063
Alistar,+0.2638,+0.1524,+0.4921,+0.3577,+0.6171,+0.5331,+0.2630,+0.3208,+0.1732,+0.0985,+0.2698,+0.1134,+0.3277,+0.2930,+0.2500,+0.3378,+0.4531,+0.1836,+0.3491,+0.4627,-0.4692,+0.3985,+0.3578,+0.4138,-0.0690,+0.1841,-0.6453,-0.0067,+0.1523,+0.1950,+0.0757,+0.3233,+0.2386,+0.4039,+0.1460,+0.3192,+0.1970,+0.4832,+0.2527,+0.1694,+0.2992,-0.0337,+0.0852,+0.4151,+0.1655,+0.2188,+0.2950,+0.1835
Rell,+0.4086,+0.2236,+0.6183,+0.3211,+0.4829,+0.2271,+0.2089,+0.2543,+0.3522,+0.1113,+0.3470,+0.0471,+0.4527,+0.4086,+0.5521,+0.4986,+0.2566,+0.3666,+0.2704,+0.3165,-0.5075,+0.3215,+0.1212,+0.3308,+0.2162,+0.5431,+0.4255,+0.2624,+0.4617,+0.2088,-0.0723,+0.3836,+0.3539,+0.4203,+0.1828,+0.3951,+0.4087,+0.4922,+0.4198,+0.3406,+0.2942,+0.3462,+0.3818,+0.4188,+0.3876,+0.4791,+0.3643,+0.2435
Leona,+0.2994,+0.2664,+0.3746,+0.1962,+0.4199,+0.1506,+0.2163,+0.1490,+0.3004,+0.2184,+0.0817,+0.0364,+0.2853,+0.4716,+0.3938,+0.7283,+0.1688,+0.4122,+0.0790,+0.4943,-0.1392,+0.2876,-0.0154,+0.1706,+0.0963,+0.3316,+0.1454,+0.2237,+0.6095,+0.0545,-0.0910,+0.5088,+0.2798,+0.2828,+0.1978,+0.3215,+0.3399,+0.3974,+0.4130,+0.1537,+0.2528,+0.2997,+0.2907,+0.3455,+0.1645,+0.2094,+0.2424,+0.1510
Milio,-0.3232,-0.2121,-0.3428,-0.3378,-0.3306,-0.3337,+0.0034,-0.1486,-0.2040,-0.0484,-0.0269,-0.0572,-0.1768,-0.0446,-0.0288,-0.1553,-0.1016,-0.0534,-0.2124,+0.2471,+0.0641,-0.0733,-0.0395,+0.0856,+0.0668,+0.1822,+0.1199,+0.1073,-0.0176,+0.0334,+0.1242,-0.1152,+0.0607,-0.0810,+0.2363,+0.0835,+0.1007,+0.1444,+0.0293,+0.1231,+0.1408,+0.2415,+0.1345,+0.1522,+0.2013,+0.1965,+0.2287,+0.1180
