sup\top,Sion,K'Sante,Gnar,Rumble,Renekton,Ambessa,Jayce,Gwen,Ornn,Zaahen,Yorick,Jax,Aatrox,Vayne,Aurora,Kennen,Rek'Sai,Gragas,Varus,Anivia,Olaf,Malphite,Shen,Camille,Galio,Fiora,Irelia,Poppy,Volibear,Dr. Mundo,Cho'Gath,Mordekaiser,Sylas,Akali,Yasuo,Darius,Kled,Gangplank,Yone,Ryze,Garen,Sett,Urgot,Udyr,Vladimir,Maokai,Nidalee,Pantheon,Sejuani,Wukong
Nautilus,+0.2300,-0.0248,-0.0066,+0.6829,-0.0130,+0.1667,+0.4741,+0.2557,-0.0378,+0.4160,+0.2583,+0.0871,+0.1028,+0.3016,+0.5661,+0.2211,+0.3763,+0.1602,+0.7689,+0.5099,+0.1037,+0.3530,-0.0234,+0.1544,+0.3602,+0.1451,+0.4293,+0.2885,+0.3667,+0.2267,+0.4077,+0.3108,+0.2750,+0.4798,+0.2486,+0.4011,+0.3219,+0.2509,+0.3464,+0.6140,+0.3912,+0.3759,+0.3601,+0.4870,+0.3643,+0.5156,+0.4748,+0.6249,+0.2787,+0.4891
Lulu,+0.0803,+0.1232,-0.2380,-0.0134,-0.0653,-0.1037,-0.1361,-0.1045,-0.0891,+0.1261,+0.0516,+0.1192,+0.1331,+0.1870,+0.1458,+0.1517,+0.1046,+0.1446,-0.0149,+0.1733,+0.2280,+0.2172,+0.3936,+0.1774,+0.2482,+0.0058,+0.2691,+0.5678,+0.3176,+0.2081,+0.2710,+0.2436,+0.2303,+0.2055,+0.2346,+0.4251,+0.2034,+0.2324,+0.0436,+0.2245,+0.2359,+0.1941,+0.2624,+0.2283,+0.2981,+0.2279,+0.2370,+0.1978,+0.1063,+0.2583
Bard,-0.0942,-0.0977,-0.2165,+0.2321,-0.0440,-0.0701,+0.2463,-0.0889,+0.1345,+0.2438,+0.1211,-0.1515,-0.0691,+0.1822,+0.0180,+0.0493,+0.1509,+0.1390,+0.4339,+0.2000,+0.1631,+0.1152,+0.0052,+0.0074,+0.1568,+0.1233,+0.1124,+0.2988,-0.0126,+0.1229,+0.2887,+0.2399,+0.0991,-0.0367,+0.0162,+0.2740,+0.1531,+0.2567,+0.1211,+0.1494,+0.3616,+0.2613,+0.2079,+0.2432,+0.2263,+0.2040,+0.2201,+0.2208,+0.0168,+0.0870
Nami,-0.2152,-0.3209,-0.0210,-0.0371,-0.4586,-0.2510,-0.0444,-0.0011,-0.1676,+0.0497,-0.0455,-0.0751,+0.0712,+0.0970,-0.1401,-0.0705,+0.0413,+0.2057,-0.0345,+0.2523,+0.1216,+0.2828,+0.1073,+0.0375,-0.0620,+0.1128,+0.0482,+0.2578,+0.1267,+0.0743,+0.2050,+0.2112,+0.1102,+0.0569,+0.0532,+0.3399,+0.0639,+0.1730,+0.0341,-0.0313,+0.1978,+0.0369,+0.1567,+0.1466,+0.2476,+0.0010,+0.2558,+0.1232,-0.0932,+0.0323
Neeko,-0.3549,-0.2452,-0.4746,+0.2549,-0.1219,-0.0982,+0.2115,+0.0531,-0.2953,+0.4064,+0.0805,-0.0211,-0.1400,+0.5349,+0.0062,+0.2747,+0.4280,+0.1814,+0.4451,+0.5882,+0.3067,+0.4076,+0.2905,-0.0509,-0.0229,+0.1779,+0.5020,+0.5458,+0.1975,+0.2024,+0.3185,+0.5781,+0.0524,+0.3086,+0.4386,+0.4483,+0.5252,+0.4110,+0.3503,+0.2841,+0.5147,+0.4521,+0.6708,+0.4748,+0.5811,+0.4176,+0.4536,+0.4574,+0.3226,+0.3879
Karma,-0.2497,-0.0151,-0.3504,+0.1490,-0.1708,-0.1811,+0.0253,+0.1388,-0.2961,+0.2431,+0.2177,-0.2184,+0.1320,+0.2812,+0.1215,+0.0516,+0.2954,-0.0447,+0.2490,+0.1914,+0.2151,+0.1471,+0.0843,+0.0516,+0.1570,+0.2766,+0.1397,+0.4719,+0.2059,+0.1749,+0.3231,+0.1941,+0.1988,+0.2557,+0.3349,+0.4723,+0.4381,+0.2369,+0.1013,+0.2968,+0.4753,+0.4012,+0.3804,+0.3254,+0.3158,+0.2190,+0.4448,+0.2379,+0.1987,+0.2645
Seraphine,-0.2110,-0.1124,-0.3094,-0.1018,-0.2260,-0.3860,-0.1740,-0.1087,-0.3681,+0.0179,+0.1768,-0.1008,-0.1305,+0.1664,-0.1683,+0.0802,+0.2508,+0.1038,-0.1976,+0.1283,+0.0093,+0.0363,+0.1381,+0.0248,-0.2101,+0.1171,+0.1609,+0.1806,+0.0514,+0.1998,+0.1709,+0.2914,-0.1578,-0.0412,-0.0143,+0.1956,+0.2108,+0.1419,-0.0393,+0.0027,+0.2687,+0.1853,+0.2310,+0.1413,+0.1597,+0.0333,+0.1365,+0.0533,+0.0235,-0.0628
Rakan,+0.1386,+0.2700,-0.0353,+0.5317,-0.1950,+0.1786,+0.2547,+0.4658,+0.1400,+0.3236,+0.2536,+0.1911,+0.2036,+0.1627,+0.4949,+0.1102,+0.2996,+0.1091,+0.5908,+0.3305,+0.1620,+0.2871,+0.1454,+0.2538,+0.3994,+0.0084,+0.2468,-0.3641,+0.2681,+0.4321,+0.2814,+0.2711,+0.1536,+0.5029,+0.3130,+0.2005,+0.4248,+0.2378,+0.4556,+0.3821,+0.2123,+0.3419,+0.3727,+0.3102,+0.3541,+0.2940,+0.4589,+0.4629,+0.3447,+0.3826
Alistar,+0.2971,+0.0149,+0.2864,+0.6826,-0.0093,+0.2537,+0.3253,+0.4321,+0.0507,+0.2443,+0.1054,+0.3886,-0.0003,-0.0436,+0.5949,+0.1563,+0.1918,+0.0166,+0.6248,+0.3152,+0.0068,+0.1269,+0.1473,+0.0443,+0.4956,+0.1357,+0.3516,-0.4010,+0.0578,+0.3120,+0.2042,+0.1387,-0.5431,+0.5051,+0.3533,-0.1294,+0.4467,+0.1685,+0.4652,+0.6191,+0.2768,+0.2437,+0.2658,+0.2235,+0.3559,+0.4539,+0.4957,+0.5834,+0.4534,+0.3943
Rell,+0.3122,+0.0665,+0.1189,+0.6965,+0.0537,+0.4412,+0.4462,+0.3758,-0.0788,+0.3922,+0.2965,+0.0475,-0.1100,+0.2472,+0.6093,+0.1718,+0.5699,-0.1122,+0.8871,+0.5144,+0.1800,+0.3587,+0.0667,+0.2111,+0.4599,+0.1570,+0.3182,-0.4047,+0.3224,+0.2379,+0.2822,+0.2348,+0.5137,+0.3244,+0.3548,+0.3033,+0.4173,+0.2830,+0.4194,+0.5894,+0.3685,+0.3624,+0.3912,+0.4130,+0.3612,+0.4910,+0.4295,+0.5854,+0.4258,+0.5348
Leona,+0.2709,-0.0375,+0.1229,+0.7094,+0.1838,+0.1788,+0.7166,+0.2423,+0.1048,+0.4523,+0.2917,-0.1319,+0.0834,+0.1673,+0.4246,+0.1724,+0.3591,+0.1337,+0.8227,+0.6078,+0.0158,+0.3591,-0.0881,-0.0513,+0.1556,+0.0991,+0.3600,-0.0727,+0.3378,+0.2376,+0.2293,+0.2247,+0.2371,+0.1201,+0.3594,+0.2346,+0.3062,+0.1943,+0.3859,+0.3898,+0.1999,+0.3143,+0.4073,+0.5233,+0.2891,+0.5508,+0.2923,+0.5038,+0.3418,+0.4124
Milio,-0.2018,-0.1408,-0.0568,-0.0429,-0.2587,-0.2631,-0.3006,-0.2039,-0.1373,-0.0529,-0.0917,-0.0108,-0.0206,+0.1411,-0.1713,+0.0020,+0.1854,+0.1334,-0.1090,+0.0375,+0.1013,-0.0328,+0.0469,-0.0438,-0.1398,+0.0473,-0.1287,+0.0904,+0.1120,+0.0868,+0.1439,+0.1487,+0.1170,-0.1103,+0.0695,+0.2527,+0.0876,+0.2079,+0.0100,-0.0567,+0.1547,+0.0785,+0.1898,+0.0248,+0.1107,+0.2749,+0.1432,-0.1029,+0.0339,-0.1007
Braum,+0.1378,+0.0703,-0.0909,+0.2414,+0.1687,+0.2867,+0.2480,+0.2162,+0.7576,-0.0168,+0.0508,+0.0995,+0.0507,-0.1699,+0.2870,+0.1157,-0.0873,+0.1822,+0.2341,-0.0308,+0.0030,+0.1486,+0.1176,-0.0922,+0.3777,-0.0655,+0.1638,+0.0074,+0.0353,-0.0610,-0.1696,-0.0631,+0.1070,+0.1232,+0.1131,-0.1544,-0.0246,+0.1088,+0.1849,-0.0084,-0.2076,+0.1015,+0.1570,+0.0819,-0.0150,+0.1252,+0.2470,+0.2233,+0.2503,+0.0408
