jng\top,Sion,K'Sante,Gnar,Rumble,Renekton,Ambessa,Jayce,Gwen,Ornn,Zaahen,Yorick,Jax,Aatrox,Vayne,Aurora,Kennen,Rek'Sai,Gragas,Varus,Anivia,Olaf,Malphite,Shen,Camille,Galio,Fiora,Irelia,Poppy,Volibear,Dr. Mundo,Cho'Gath,Mordekaiser
Sejuani,-0.4328,+0.1917,+0.1929,+0.5539,-0.1972,-0.0433,+0.3244,-0.3109,-0.1104,-0.1091,-0.2143,+0.4658,-0.1804,-0.2212,+0.3553,-0.1154,+0.1981,+0.0480,+0.2527,+0.3735,+0.2103,+0.2622,+0.2580,+0.3842,+0.1927,+0.4480,+0.5979,+0.1955,+0.5565,+0.0185,+0.2693,+0.4352
Malphite,-0.4829,-0.2432,+0.8515,-0.5115,+0.0206,+0.1585,+0.5278,-0.0379,+0.0235,+0.0598,-0.4276,-0.1867,-0.3828,-0.0529,-0.3612,+0.3540,+0.0357,-0.0804,+0.0520,-0.3127,+0.0320,-0.0433,+0.0465,-0.2519,-0.2775,+0.0305,-0.1724,+0.3580,-0.2175,-0.3939,+0.0904,-0.1277
Viego,+0.0176,+0.2806,-0.1364,-0.1177,+0.0673,+0.0515,-0.3082,+0.5676,-0.0787,-0.0234,-0.0268,-0.5462,-0.0272,-0.2677,-0.1328,+0.1049,+0.3275,-0.2452,+0.2166,-0.2427,+0.1872,-0.0153,-0.0031,+0.1364,+0.6122,+0.2315,-0.0300,+0.1500,-0.3615,+0.0362,+0.1094,+0.2131
Maokai,-0.2784,-0.4011,-0.7577,+0.0745,-0.5999,+0.2736,-0.2881,-0.2008,+0.1177,+0.2647,+0.8207,+0.1571,+0.0798,+0.2360,+0.5263,+0.7900,+0.4626,+0.0340,+0.1540,+0.0470,+0.1896,+0.3831,+0.0004,+0.7566,+0.4443,+0.5983,+0.5926,+0.5388,+0.3955,+0.1999,+0.3803,+0.6924
Poppy,-0.4630,+0.2848,-0.1841,-0.2166,-0.2417,+0.7108,-0.0595,-0.5195,-0.2605,+0.1745,+0.2392,-0.0070,-0.1076,-0.1970,-0.1040,+0.2603,-0.1613,-0.0122,-0.2621,-0.8708,-0.3722,-0.3928,-0.1944,-0.3776,+0.1129,-0.4768,-0.1574,-0.0950,-0.3079,-0.3649,-0.1832,-0.3489
Kha'Zix,+0.0025,-0.2400,+0.0722,-0.5767,-0.7549,-0.3246,+0.3339,-0.2006,-0.3703,+0.2549,-0.2666,+0.1084,-0.1360,-0.0457,-0.3010,-0.3711,+0.1302,+0.2085,-0.2922,-0.1515,-0.4141,-0.0973,-0.1056,-0.2571,-0.4020,+0.0422,+0.0956,+0.0343,-0.2600,-0.0208,-0.0959,-0.2581
Jax,-0.5173,-0.5309,-0.0306,-0.2886,+0.1557,+0.2083,-0.2754,+0.5364,-0.4292,+0.3498,+0.1571,-0.1326,-0.2628,+0.1920,-0.4413,+0.0054,+0.2373,+0.0306,-0.0917,-0.0204,+0.4316,+0.0455,-0.1216,+0.0869,+0.0416,+0.0937,+0.0110,+0.0823,-0.1727,-0.0232,+0.1715,+0.2528
Nidalee,-0.7346,-0.3596,-0.3469,-0.0148,+0.5241,-0.4003,+0.2444,-0.0378,-0.3634,+0.0097,-0.5958,+0.1196,-0.2597,-0.2974,-0.6340,+0.1080,+0.1273,+0.0457,-0.3608,-0.0144,+0.1321,+0.0896,-0.3385,-0.0247,-0.3191,+0.3495,-0.3131,+0.2627,+0.0836,-0.2905,+0.1033,+0.0396
Olaf,+0.1355,+0.1132,-0.0971,-0.5265,+0.3024,-0.2028,-0.7769,+0.3846,+0.0548,-0.3855,-0.4031,-0.7475,-0.4931,-0.2380,-0.4005,-0.4575,+0.3082,-0.0828,+0.0381,-0.3203,+0.0675,-0.0408,+0.1874,+0.0548,+0.0326,+0.0650,-0.1633,+0.2890,+0.0369,+0.1354,-0.0808,+0.3095
Rek'Sai,+0.0809,+0.1164,-0.5679,-0.0321,-0.7791,+0.2218,-0.3182,+0.1428,-0.2833,+0.1417,+0.7003,-0.3494,-0.3204,-0.3606,-0.0817,+0.1071,+0.1112,-0.2447,+0.2681,+0.0709,-0.0598,+0.0492,+0.2353,-0.0827,-0.0271,+0.1630,+0.2040,+0.2392,-0.0900,+0.1077,+0.1921,+0.1216
Sylas,-0.2181,-0.2255,+0.2004,+0.3044,-0.1420,-0.5995,+0.0774,-0.0767,+0.0134,-0.0365,-0.2498,-0.1901,-0.3973,-0.2655,-0.2064,-0.0321,+0.1071,-0.0264,+0.0688,-0.1463,+0.1100,+0.1750,-0.0505,-0.2039,-0.2514,-0.1069,-0.2478,+0.1542,-0.0440,+0.2524,-0.0265,-0.2329
Volibear,-0.3535,-0.1822,-0.4728,-0.3787,-0.1179,+0.2321,-0.4633,+0.1468,-0.0558,+0.0191,+0.1236,+0.0234,-0.2964,+0.1727,-0.2611,+0.2923,+0.2697,+0.1037,-0.2673,-0.0503,+0.0459,+0.2911,-0.0093,-0.1196,-0.0558,+0.3067,+0.5233,+0.4059,+0.0698,+0.1096,+0.2879,+0.1700
Zyra,-0.8761,-0.3287,-0.4080,-0.5280,-0.2061,-0.3921,-0.0033,-0.5665,+0.2874,+0.1991,-0.5869,-0.0722,-0.2893,+0.1012,-0.2981,+0.0186,-0.1096,+0.0395,-0.3178,-0.4556,-0.1050,+0.0178,-0.0529,+0.0720,-0.3962,+0.3975,+0.0579,+0.4106,+0.2474,-0.2580,+0.0901,-0.0414
Shen,-0.4639,-0.5568,-0.1560,-0.3004,-0.0711,-0.4428,-0.3957,-0.1690,-0.1066,+0.1445,+0.0127,-0.2327,-0.2781,+0.3901,-0.2671,-0.3365,-0.1021,+0.1230,-0.2140,-0.1871,-0.0667,-0.0291,-0.0700,-0.1043,-0.4764,+0.3865,-0.1212,-0.0111,-0.0191,-0.2841,+0.1364,+0.3227
