jng\jng,Xin Zhao,Jarvan IV,Vi,Wukong,Pantheon,Nocturne,Dr. Mundo,Lee Sin,Naafiri,Aatrox,Skarner,Trundle,Ambessa,Zaahen,Qiyana,Jayce,Sejuani,Malphite,Viego,Maokai,Poppy,Kha'Zix,Jax,Nidalee,Olaf,Rek'Sai,Sylas,Volibear,Zyra,Shen,Kindred,Taliyah,Diana,Gwen,Lillia,Graves,Hecarim,Ivern,Nunu & Willump,Shyvana,Zac,Darius,Brand,Karthus,Morgana,Zed,Amumu,Bel'Veth
Skarner,+0.1780,+0.0259,+0.2191,+0.0042,+0.7539,+0.1588,+0.0428,+0.1665,+0.2784,+0.0491,+0.0000,-0.1126,+0.4691,+0.5884,+0.4994,+0.2593,+0.1385,+0.5305,-0.2561,+0.1531,+0.2590,+0.3298,+0.1872,+0.0313,+0.0159,+0.5037,+0.2521,+0.2262,+0.2048,+0.4458,+0.0698,+0.3493,+0.4468,+0.4435,-0.4065,+0.5465,+0.5447,-0.3259,+0.5286,+0.5359,+0.5007,+0.5029,-0.0093,+0.4618,+0.5916,+0.3806,+0.3344,+0.5500
Trundle,+0.6100,-0.4690,-0.0674,+0.0949,+0.4662,-0.0683,+0.3871,-0.4478,-0.2802,-0.0229,+0.1126,+0.0000,+0.0164,+0.4036,-0.1768,+0.0486,+0.3431,+0.4923,-0.1045,-0.3230,+0.3374,+0.1736,-0.1040,-0.1641,+0.1174,+0.1356,+0.1119,+0.1129,-0.1977,+0.2089,-0.1374,+0.3353,+0.2216,+0.1875,-0.3524,+0.3179,+0.1141,-0.2261,+0.4003,+0.2746,+0.2235,+0.1399,+0.1478,+0.2646,+0.3003,-0.4510,+0.2879,+0.1906
Ambessa,-0.5510,-0.2470,-0.4630,-0.5279,-0.3569,-0.3472,+0.0710,-0.3387,-0.1794,-0.2325,-0.4691,-0.0164,+0.0000,+0.2848,+0.1662,+0.1580,-0.4768,+0.2363,-0.3186,-0.3105,-0.4617,+0.2727,-0.1868,+0.0746,+0.2400,+0.2848,+0.1567,-0.0737,+0.1189,+0.3318,+0.0530,-0.0749,+0.3086,+0.3326,-0.0301,+0.3833,+0.3980,+0.1340,+0.3921,+0.4154,+0.4243,+0.3654,+0.3013,+0.3908,+0.4457,+0.3623,+0.4066,+0.5191
Zaahen,-0.9983,-0.5647,-0.9537,-0.6988,-0.8521,-0.6533,-0.0002,-0.3195,-0.4852,-0.0605,-0.5884,-0.4036,-0.2848,+0.0000,-0.1146,-0.4563,-0.7736,+0.0232,-0.4037,-0.7595,-0.1916,-0.1254,-0.3892,-0.1616,+0.0032,-0.0388,-0.0353,-0.0311,-0.3045,+0.1336,-0.0214,-0.4676,-0.0162,-0.3208,-0.2320,+0.1099,+0.1391,-0.1464,+0.1098,+0.1795,+0.2286,+0.1170,+0.0376,+0.0303,+0.0598,+0.0043,+0.2326,+0.2052
Qiyana,-0.5727,-0.0899,-0.7634,-0.5179,-0.6059,-0.4631,-0.1243,-0.4922,-0.2672,-0.0860,-0.4994,+0.1768,-0.1662,+0.1146,+0.0000,-0.2027,-0.6026,+0.0426,-0.4227,-0.5124,-0.3182,+0.0673,-0.0663,-0.1189,+0.2118,-0.1115,-0.0562,+0.0532,-0.1505,+0.2622,+0.0495,-0.0788,+0.0957,-0.0305,-0.0437,+0.1553,+0.1858,-0.0302,+0.1954,+0.0647,+0.1731,+0.1605,+0.1230,+0.2172,+0.1371,+0.0925,+0.2714,+0.2940
Jayce,-0.4426,-0.6236,-0.7855,-0.6139,-0.6039,-0.7269,-0.1625,-0.3743,-0.2306,+0.0463,-0.2593,-0.0486,-0.1580,+0.4563,+0.2027,+0.0000,-0.5691,-0.1295,-0.4048,-0.3828,+0.1143,+0.1385,+0.0670,-0.0185,+0.2797,+0.2867,+0.0732,+0.0314,-0.1037,+0.4651,+0.0250,+0.0014,+0.1738,+0.3257,-0.0297,+0.4015,+0.3817,+0.0929,+0.4578,+0.4215,+0.3045,+0.4291,+0.3354,+0.3743,+0.5107,+0.1034,+0.4573,+0.3942
Sejuani,-0.0247,-0.0868,+0.2896,+0.0034,+0.5667,+0.2376,-0.2289,+0.2557,+0.2647,+0.2435,-0.1385,-0.3431,+0.4768,+0.7736,+0.6026,+0.5691,+0.0000,+0.4606,-0.1890,+0.4335,-0.1279,+0.3909,+0.0864,+0.4156,+0.2467,+0.5977,+0.1830,+0.1947,+0.2984,+0.3502,+0.2355,+0.3688,+0.4409,+0.6054,-0.4967,+0.5109,+0.6082,+0.1997,+0.6097,+0.5670,+0.4010,+0.6212,+0.3069,+0.4887,+0.5647,+0.4248,+0.5845,+0.4915
Malphite,-0.6469,-0.4630,-0.5958,-0.4624,-0.4154,-0.4493,-0.4240,-0.2658,-0.2546,-0.2371,-0.5305,-0.4923,-0.2363,-0.0232,-0.0426,+0.1295,-0.4606,+0.0000,-0.3473,-0.3947,-0.0543,+0.0255,-0.0788,-0.1225,+0.0077,-0.0508,-0.1776,-0.0848,-0.1223,+0.1083,+0.0345,-0.1796,-0.1137,-0.2390,-0.1068,+0.0600,+0.1041,-0.0171,+0.0605,+0.1115,+0.0799,+0.1408,+0.0362,+0.0580,+0.0720,+0.0479,+0.1756,+0.1748
Viego,+0.1508,+0.0535,+0.5821,-0.0849,+0.0776,+0.2471,+0.2548,-0.2457,+0.2086,+0.0706,+0.2561,+0.1045,+0.3186,+0.4037,+0.4227,+0.4048,+0.1890,+0.3473,+0.0000,+0.3244,-0.0236,+0.2260,-0.0935,+0.3144,+0.0449,+0.5427,+0.2087,+0.1182,+0.3542,+0.1421,+0.2746,+0.2897,+0.3657,+0.3562,+0.3475,+0.3784,+0.3295,+0.1621,+0.3636,+0.3230,+0.2043,+0.3150,+0.2264,+0.3840,+0.2600,+0.2998,+0.2987,+0.3294
Maokai,-0.3514,-0.5218,+0.1155,+0.1580,+0.0167,+0.0005,-0.2709,-0.0816,+0.0519,+0.1118,-0.1531,+0.3230,+0.3105,+0.7595,+0.5124,+0.3828,-0.4335,+0.3947,-0.3244,+0.0000,+0.2128,+0.3970,+0.2360,+0.0961,+0.2363,+0.5073,-0.1826,-0.0028,+0.1005,+0.4457,+0.0659,+0.4623,+0.3196,+0.3389,-0.0912,+0.4816,+0.4259,-0.3020,+0.3544,+0.2981,+0.3568,+0.3713,+0.2953,+0.3091,+0.4509,+0.1947,+0.1707,+0.3934
