top\sup,Nautilus,Lulu,Bard,Nami,Neeko,Karma,Seraphine,Rakan,Alistar,Rell,Leona,Milio,Braum,Thresh,Renata Glasc,Pyke,Poppy,Anivia,Yuumi,Blitzcrank,Elise,Lux,Shen,Soraka,Camille,Sona,Senna,Amumu,Tahm Kench,Taric,Maokai,Galio,Pantheon,Janna,Zilean,Fiddlesticks,Gragas
Sion,-0.2300,-0.0803,+0.0942,+0.2152,+0.3549,+0.2497,+0.2110,-0.1386,-0.2971,-0.3122,-0.2709,+0.2018,-0.1378,+0.1590,+0.0444,+0.2964,+0.1266,+0.6747,+0.5155,+0.3298,+0.4801,+0.7413,+0.2693,+0.5572,+0.1222,+0.6820,+0.4114,+0.4264,+0.4169,+0.3691,+0.4845,+0.4350,+0.7112,+0.6736,+0.6121,+0.5471,+0.5244
K'Sante,+0.0248,-0.1232,+0.0977,+0.3209,+0.2452,+0.0151,+0.1124,-0.2700,-0.0149,-0.0665,+0.0375,+0.1408,-0.0703,+0.3847,+0.0012,+0.2534,-0.2815,+0.6740,+0.2382,+0.5018,+0.3024,+0.6024,+0.2128,+0.4054,+0.0871,+0.4896,+0.2620,+0.3425,+0.5117,+0.2669,+0.4430,+0.5832,+0.5782,+0.6080,+0.5560,+0.4812,+0.4932
Gnar,+0.0066,+0.2380,+0.2165,+0.0210,+0.4746,+0.3504,+0.3094,+0.0353,-0.2864,-0.1189,-0.1229,+0.0568,+0.0909,+0.1170,-0.1250,+0.0107,+0.0720,+0.3680,+0.2508,+0.0813,+0.0471,+0.3338,+0.2395,+0.2154,-0.0565,+0.2341,+0.1659,+0.1618,+0.2910,+0.2073,+0.2649,+0.3292,+0.3971,+0.2311,+0.2035,+0.1518,+0.2901
Rumble,-0.6829,+0.0134,-0.2321,+0.0371,-0.2549,-0.1490,+0.1018,-0.5317,-0.6826,-0.6965,-0.7094,+0.0429,-0.2414,+0.0336,+0.2628,+0.1179,+0.1438,+0.6497,+0.4645,+0.1140,+0.3159,+0.8410,+0.7117,+0.8091,+0.4386,+0.9699,+0.5256,+0.8464,+0.6556,+0.7101,+0.3081,-1.1138,+0.3156,+0.9158,+0.8082,+0.9269,+0.4210
Renekton,+0.0130,+0.0653,+0.0440,+0.4586,+0.1219,+0.1708,+0.2260,+0.1950,+0.0093,-0.0537,-0.1838,+0.2587,-0.1687,+0.0943,-0.1194,-0.0144,-0.0623,+0.4850,+0.4806,+0.1709,+0.1865,+0.5494,+0.2574,+0.3761,+0.6994,+0.4838,+0.3763,+0.6356,+0.2826,+0.2745,+0.4394,+0.3757,+0.4597,+0.4587,+0.4296,+0.5340,-0.1361
Ambessa,-0.1667,+0.1037,+0.0701,+0.2510,+0.0982,+0.1811,+0.3860,-0.1786,-0.2537,-0.4412,-0.1788,+0.2631,-0.2867,+0.4111,-0.2563,+0.2142,-0.5427,+0.7637,+0.5412,+0.4450,+0.1430,+0.8327,+0.3635,+0.6329,-0.1731,+0.8281,+0.4163,+0.6331,+0.3495,+0.3536,+0.2270,+0.5070,+0.4710,+0.6527,+0.7059,+0.7487,+0.6389
Jayce,-0.4741,+0.1361,-0.2463,+0.0444,-0.2115,-0.0253,+0.1740,-0.2547,-0.3253,-0.4462,-0.7166,+0.3006,-0.2480,+0.1233,+0.0445,+0.0504,+0.1334,+0.6192,+0.3437,-0.0657,+0.3086,+0.6339,+0.5760,+0.5693,+0.3515,+0.7429,+0.2145,+0.5981,+0.5157,+0.4794,+0.1389,+0.2491,+0.0620,+0.5642,+0.6425,+0.5294,-0.0669
Gwen,-0.2557,+0.1045,+0.0889,+0.0011,-0.0531,-0.1388,+0.1087,-0.4658,-0.4321,-0.3758,-0.2423,+0.2039,-0.2162,+0.0281,-0.1689,-0.0013,+0.0400,+0.6510,+0.3056,+0.1336,+0.2174,+0.3251,+0.3150,+0.4462,+0.3280,+0.3809,+0.0930,+0.4976,+0.2807,+0.2323,+0.0846,-0.0280,-0.0055,+0.3896,+0.4310,+0.5289,+0.0527
Ornn,+0.0378,+0.0891,-0.1345,+0.1676,+0.2953,+0.2961,+0.3681,-0.1400,-0.0507,+0.0788,-0.1048,+0.1373,-0.7576,+0.3460,-0.1256,+0.1147,-0.0301,+0.5211,+0.2115,+0.4606,+0.1345,+0.3307,-0.0084,+0.3531,-0.1024,+0.4703,+0.2097,+0.2712,+0.0959,+0.0192,+0.2293,+0.2641,+0.5357,+0.4694,+0.4321,+0.4163,+0.3594
Zaahen,-0.4160,-0.1261,-0.2438,-0.0497,-0.4064,-0.2431,-0.0179,-0.3236,-0.2443,-0.3922,-0.4523,+0.0529,+0.0168,-0.1497,+0.0534,-0.2035,+0.0157,+0.0644,-0.1429,-0.0907,-0.0009,+0.0403,+0.1121,+0.2054,+0.0286,+0.0774,-0.1444,+0.2450,+0.3453,+0.3032,-0.4135,-0.0713,-0.5083,+0.1150,+0.1193,+0.2100,+0.0519
