jng\mid,Ryze,Ahri,Aurora,Azir,Orianna,Viktor,Taliyah,Akali,Annie,Syndra,Galio,Anivia,Cassiopeia,Yone,LeBlanc,Mel,Sylas,Hwei,Twisted Fate,Zoe,Lissandra,Aurelion Sol,Jayce,Ziggs,Yasuo,Swain,Sion
Viego,+0.3616,-0.0437,-0.2030,-0.0759,+0.3592,-0.3821,-0.3447,-0.2324,+0.2134,-0.3867,+0.5515,-0.4863,-0.3413,-0.0329,-0.0766,-0.1328,-0.1877,-0.2639,-0.4048,+0.0336,+0.4174,+0.4504,-0.2121,+0.1694,+0.2736,+0.2643,+0.0497
Maokai,+0.1654,-0.2857,+0.3567,+0.2180,+0.3688,-0.1600,+0.4227,+0.3966,-0.1317,-0.4964,+0.1464,-0.1135,-0.3162,+0.7850,-0.2471,-0.5315,+0.6998,-0.4006,-0.1511,+0.4163,+0.3519,+0.4094,+0.0578,+0.1559,+0.8470,+0.8015,+0.1553
Poppy,-0.4221,+0.5501,-0.2696,-0.0191,-0.7751,-0.6325,-0.5912,+1.4693,-0.0367,-0.4421,+0.3644,-0.9876,-0.0672,+0.1552,+0.4275,-0.2911,-0.1167,-0.4307,-0.2166,+0.1161,-0.3446,-0.4618,-0.2951,-0.4430,-0.1613,-0.2772,-0.4422
Kha'Zix,-0.0234,-0.0409,-0.2880,-0.0444,-0.6023,-0.4176,+0.2615,-0.2589,+0.1572,+0.3132,-0.4245,+0.0736,+0.4392,+0.1980,-0.3339,-0.2254,-0.2091,-0.4312,-0.2407,-0.2120,+0.2335,-0.5535,+0.2169,-0.3034,-0.4852,-0.1536,-0.0905
Jax,+0.0959,-0.5842,-0.2619,+0.1659,-0.0750,-0.5028,-0.6418,-0.1421,-0.1594,-0.1033,+0.1520,-0.2019,-0.0829,-0.1430,-0.3839,-0.0264,+0.2828,-0.1929,-0.1507,+0.2885,+0.4759,-0.0879,-0.2182,-0.4123,+0.0715,+0.0532,-0.2465
Nidalee,-0.4050,+0.0781,-0.7280,-0.1400,-0.3210,-0.3151,-0.0225,+0.0965,-0.0774,+0.6253,-0.2288,+0.0895,+0.1270,-0.1575,-0.0496,-0.1027,-0.3950,+0.4577,-0.0106,-0.1646,+0.0436,+0.0793,+0.0834,+0.1184,+0.2248,+0.4111,-0.3436
Olaf,-0.3173,-0.6044,-0.4134,-0.8364,-0.4073,+0.1220,-0.4979,-0.8460,-0.2708,-0.8026,+0.0171,-0.3902,-0.5461,-0.1469,-0.1372,-0.2536,-0.1838,-0.0044,-0.0350,-0.1693,+0.7790,+0.2939,-0.5128,-0.0857,+0.2571,+0.4404,+0.1653
Rek'Sai,-0.1105,+0.1511,-0.2731,-0.2133,-0.0048,-0.3311,-0.2510,-0.0685,-0.2875,-0.4034,-0.1509,-0.1466,-0.1661,-0.3010,+0.0411,-0.1730,-0.2313,-0.3317,-0.0341,+0.1083,+0.3906,+0.3251,-0.0201,-0.1535,+0.2401,+0.0879,+0.1671
Sylas,-0.6320,+0.6724,-0.2591,-0.5664,+0.5960,+0.1762,-0.1995,-0.4401,-0.1641,+0.1436,-0.1844,-0.2064,-0.5954,+0.1006,+0.2334,+0.4886,+0.0478,-0.3691,-0.1446,+0.3429,+0.3816,+0.2285,+0.0234,-0.1004,+0.1916,+0.1814,-0.1564
Volibear,-0.2235,-0.5968,-0.3197,+0.0790,-0.3746,-0.2305,+0.1395,+0.0915,-0.1575,-0.3820,-0.3097,+0.0206,+0.1747,-0.2251,-0.3836,-0.5327,-0.0996,-0.2007,-0.0939,+0.1417,+0.3576,+0.2520,-0.2767,-0.1966,+0.2550,+0.2543,-0.1140
Zyra,-0.3711,-0.4996,-0.2075,-0.6544,-0.3586,-0.3119,-0.4163,-0.4542,-0.1995,-1.3896,-0.4438,-0.6209,-0.4949,-0.2446,-0.2414,-0.3564,-0.1619,-0.3891,-0.0263,-0.1484,+0.4815,+0.1270,+0.1048,+0.0063,+0.2638,-0.0432,-0.4039
Shen,-0.3157,-0.5114,-0.2307,-0.5327,-0.2782,-0.0192,-0.5455,-0.2559,-0.4772,-0.2333,-0.6019,-0.3592,-0.2808,-0.2681,-0.3636,-0.7428,+0.1621,+0.0465,+0.0283,+0.1080,+0.1480,+0.0800,-0.2835,+0.1007,+0.0655,+0.2146,-0.2160
