jng\sup,Nautilus,Lulu,Bard,Nami,Neeko,Karma,Seraphine,Rakan,Alistar,Rell,Leona,Milio,Braum,Thresh,Renata Glasc,Pyke,Poppy,Anivia,Yuumi,Blitzcrank,Elise,Lux,Shen,Soraka,Camille,Sona,Senna,Amumu,Tahm Kench,Taric,Maokai,Galio,Pantheon,Janna,Zilean,Fiddlesticks,Gragas
Xin Zhao,-0.1534,-0.1117,+0.0317,-0.0628,+0.1445,+0.2118,+0.2984,-0.2897,-0.2638,-0.4086,-0.2994,+0.3232,-0.3338,+0.4898,+0.0760,+0.1611,+0.2480,+1.0002,+0.8657,+0.4030,+0.5055,+1.0153,+0.6174,+0.7941,+0.7705,+1.0913,+0.5368,+1.0502,+0.7443,+0.6858,+0.7766,+0.5427,+0.8261,+1.0938,+0.9881,+0.9289,+0.6365
Jarvan IV,-0.1563,+0.0491,-0.2059,+0.0326,+0.1960,+0.3104,+0.4818,-0.1983,-0.1524,-0.2236,-0.2664,+0.2121,-0.2559,-0.1592,+0.1601,+0.1351,-0.3793,+0.7295,+0.4045,+0.3067,+0.2651,+0.8030,+0.4725,+0.7504,+0.5368,+0.8882,+0.5673,+0.7447,+0.5091,+0.3765,+0.8354,+0.5252,+0.7650,+0.6090,+0.8819,+0.9334,+0.5550
Vi,-0.2999,+0.1558,-0.2309,+0.3851,+0.1992,+0.3184,+0.2453,-0.5115,-0.4921,-0.6183,-0.3746,+0.3428,-0.2687,+0.2822,-0.6185,+0.2646,-0.5153,+1.1189,+0.8904,+0.6774,+0.4200,+1.0602,+0.6380,+1.0012,+0.7222,+1.2693,+0.6192,+1.1708,+0.6263,+0.6418,+0.5093,+0.1472,+0.7436,+1.1529,+1.0928,+1.1221,+0.6279
Wukong,-0.1601,-0.0535,+0.2373,+0.2611,+0.1505,+0.1697,+0.3875,-0.1698,-0.3577,-0.3211,-0.1962,+0.3378,-0.1330,+0.3098,-0.0393,+0.2952,-0.3937,+0.8227,+0.7581,+0.3646,+0.3903,+0.8914,+0.5404,+0.7289,+0.7185,+0.8172,+0.5521,+0.6175,+0.5295,+0.3610,+0.3357,+0.5192,+0.9619,+0.8841,+0.8157,+0.7423,+0.4289
Pantheon,-0.5137,-0.0126,-0.0613,+0.0699,-0.0264,+0.2068,+0.2125,-0.3378,-0.6171,-0.4829,-0.4199,+0.3306,-0.4261,+0.2652,-0.0823,+0.1932,-0.1855,+0.8986,+0.6387,+0.2028,+0.3999,+1.1441,+0.4291,+0.7632,+0.4821,+1.0489,+0.4870,+0.9731,+0.6627,+0.6706,+0.5759,+0.4452,+0.6015,+0.9788,+0.9823,+1.0396,+0.3255
Nocturne,-0.0798,+0.0927,+0.0003,+0.2628,+0.0820,+0.1776,+0.3509,-0.4425,-0.5331,-0.2271,-0.1506,+0.3337,-0.2523,+0.2799,-0.3539,+0.1477,+0.4425,+0.8811,+0.4781,+0.5540,+0.2439,+0.8324,+0.5302,+0.7785,+0.6059,+0.8835,+0.4154,+0.7655,+0.0550,+0.4372,+0.3584,+0.0627,+0.8735,+0.7390,+0.7088,+0.7991,+0.3766
Dr. Mundo,-0.1065,-0.1037,+0.0174,+0.0756,+0.1351,+0.0926,-0.0848,-0.3522,-0.2630,-0.2089,-0.2163,-0.0034,-0.0011,+0.1110,+0.1649,+0.0291,+0.2252,+0.0473,+0.2658,+0.0422,+0.1381,+0.2392,+0.2480,+0.2540,+0.0113,+0.2088,+0.1450,+0.1934,+0.3168,+0.1647,+0.3445,+0.2732,+0.1898,+0.2345,+0.1311,+0.2930,+0.2750
Lee Sin,-0.3344,-0.0898,+0.1462,+0.2175,+0.2856,+0.1473,+0.1329,-0.1952,-0.3208,-0.2543,-0.1490,+0.1486,-0.1245,+0.1118,+0.0756,+0.1850,-0.2477,+0.3693,+0.3212,+0.0248,+0.1300,+0.4504,+0.2539,+0.3387,+0.2765,+0.4347,+0.3529,+0.3218,+0.3010,+0.4098,+0.3014,+0.2316,+0.4524,+0.3902,+0.4446,+0.4540,+0.1119
Naafiri,-0.3351,+0.1512,-0.0642,+0.1639,+0.0338,-0.0309,+0.1602,-0.2742,-0.1732,-0.3522,-0.3004,+0.2040,-0.0394,+0.1413,-0.0118,+0.1522,-0.4824,+0.5606,+0.3851,+0.2512,+0.2356,+0.4647,+0.2534,+0.4224,+0.3894,+0.5102,+0.3021,+0.3870,+0.2830,+0.2937,+0.2709,+0.1735,+0.3139,+0.4135,+0.5642,+0.3782,+0.2454
Aatrox,-0.2564,-0.1070,+0.1200,-0.0631,-0.0146,-0.0271,+0.1291,-0.2586,-0.0985,-0.1113,-0.2184,+0.0484,-0.0369,-0.1446,+0.0493,+0.0936,+0.1453,+0.2307,+0.1025,+0.0510,+0.1120,+0.2839,+0.2449,+0.2675,+0.0239,+0.2319,+0.1402,+0.3572,+0.3138,+0.3304,+0.1078,+0.3135,+0.2244,+0.2675,+0.2745,+0.3568,+0.3236
