jng\bot,Yunara,Ezreal,Corki,Ashe,Varus,Sivir,Jhin,Caitlyn,Lucian,Kai'Sa,Aphelios,Miss Fortune,Xayah,Jinx,Kalista,Zeri,Smolder,Tristana,Ziggs,Mel,Senna,Draven,Kog'Maw,Vayne,Seraphine,Yasuo,Twitch,Hwei,Nilah
Xin Zhao,+0.6462,-0.0173,+0.1188,+0.2404,+0.4401,-0.2240,-0.1159,+0.0892,-0.0432,-0.0344,+0.1287,+0.1028,-0.1405,-0.0893,+0.1220,+0.0875,+0.1805,+0.1804,+0.1689,+0.4048,+0.1755,+0.4287,+0.5124,+0.9223,+0.5406,+0.8355,+0.9425,+0.5348,+0.8979
Jarvan IV,+0.1586,-0.5052,-0.2612,+0.4844,+1.0210,+0.3911,+0.1371,+0.3097,-0.3523,-0.3632,+0.3180,+0.2486,+0.1781,+0.4038,-0.1605,-0.2928,-0.0418,-0.2264,+0.2354,+0.5734,+0.3342,+0.5872,+0.2629,+0.5752,+0.6363,+0.5940,+0.7955,+0.9757,+0.8242
Vi,+0.9082,-0.4878,-0.3040,+0.0675,+0.3264,-0.4034,-0.2932,+0.2748,+0.1021,-0.2262,+0.3204,+0.0108,-1.4912,+0.2704,-0.0289,+0.2625,+0.3802,-0.3128,+0.2927,+0.5244,+0.3648,+0.3430,+0.6418,+1.0296,+0.5011,+0.9685,+0.9102,+0.7827,+0.9060
Wukong,+0.7032,-0.0164,+0.0414,+0.3001,+0.5840,-0.0858,-0.0586,+0.0908,+0.1640,-0.1895,+0.1881,+0.1609,-0.3046,+0.0478,+0.3693,+0.0728,+0.0167,+0.1373,+0.1495,+0.4164,+0.3179,+0.2141,+0.5050,+0.6210,+0.5062,+0.6942,+0.7844,+0.3269,+0.7115
Pantheon,+0.4294,-0.2529,-0.2005,-0.2044,+0.1408,-0.4522,-0.3346,+0.0475,-0.1348,-0.2199,-0.1460,-0.2480,-0.3257,-0.2888,-0.0365,-0.1386,+0.3339,-0.0660,+0.1419,+0.3497,+0.1734,+0.4631,+0.4767,+0.7854,+0.4225,+0.8889,+0.8790,+0.3165,+0.8525
Nocturne,+0.4399,-0.2358,-0.0345,+0.2739,+0.9851,-0.1118,+0.1659,+0.3785,+0.1360,-0.4707,+0.2867,+0.1853,-0.9010,+0.2342,+0.0517,-0.3320,+0.1904,-0.1759,+0.2874,+0.4957,+0.1988,+0.3843,+0.3609,+0.4042,+0.4630,+0.5779,+0.7761,+0.5358,+0.7051
Dr. Mundo,-0.0150,+0.0654,-0.0557,-0.1890,-0.2045,-0.2244,+0.2681,-0.0233,+0.0529,-0.3316,-0.0664,-0.1503,-0.1384,-0.2598,+0.0439,-0.0790,-0.3909,-0.0862,+0.2531,+0.1740,+0.1129,+0.1873,+0.1081,-0.0242,+0.0433,+0.1769,+0.2785,+0.1052,+0.2481
Lee Sin,+0.2619,-0.0072,+0.2089,+0.1669,+0.1749,-0.0949,-0.3596,+0.0516,-0.0404,-0.1246,+0.0875,+0.0628,-0.2156,-0.0758,+0.2542,+0.0387,+0.1956,+0.1798,+0.1740,+0.1629,+0.2285,+0.1310,+0.2611,+0.2922,+0.2635,+0.3100,+0.3932,+0.2133,+0.3747
Naafiri,+0.4369,-0.2073,-0.1291,-0.0973,+0.2057,-0.2258,-0.2244,+0.0689,+0.0466,-0.3304,+0.2211,-0.2850,-0.0479,+0.0132,-0.0563,+0.0143,+0.0638,-0.2028,+0.0208,+0.0927,+0.1860,+0.0142,+0.3925,+0.3946,+0.2508,+0.3442,+0.5534,+0.2504,+0.3554
Aatrox,+0.0134,-0.2608,-0.2209,-0.1229,-0.2480,-0.2994,-0.2175,-0.0829,-0.2097,-0.2779,-0.0540,-0.2895,-0.2370,-0.1076,-0.0604,-0.0232,+0.1176,-0.0019,+0.1072,-0.0605,+0.0346,-0.0300,+0.1201,+0.1959,+0.2298,+0.2412,+0.2969,+0.1345,+0.2961
