bot\top,Sion,K'Sante,Gnar,Rumble,Renekton,Ambessa,Jayce,Gwen,Ornn,Zaahen,Yorick,Jax,Aatrox,Vayne,Aurora,Kennen,Rek'Sai,Gragas,Varus,Anivia,Olaf,Malphite,Shen,Camille,Galio,Fiora,Irelia,Poppy,Volibear,Dr. Mundo,Cho'Gath,Mordekaiser,Sylas,Akali,Yasuo,Darius,Kled,Gangplank,Yone,Ryze,Garen,Sett,Urgot,Udyr,Vladimir,Maokai,Nidalee,Pantheon,Sejuani,Wukong
Aphelios,+0.1796,-0.0608,-0.0992,-0.0564,-0.0078,-0.1544,+0.1419,-0.0600,-0.1588,+0.0973,+0.0058,+0.0138,-0.0962,+0.3122,+0.0783,+0.1788,-0.0298,+0.0445,-0.0753,+0.1355,+0.0866,+0.1824,+0.1770,+0.0559,-0.0924,+0.1501,+0.2032,+0.2871,+0.2444,+0.1875,+0.1147,+0.1559,+0.1755,+0.0163,+0.2336,+0.2036,+0.1603,+0.0934,-0.0567,+0.1497,+0.2010,+0.0926,+0.1307,+0.1012,+0.1010,+0.1054,+0.0526,+0.2897,+0.0996,+0.0558
Miss Fortune,+0.0176,-0.1653,-0.1950,+0.5998,-0.1053,+0.0426,+0.6554,+0.2954,-0.0595,+0.7946,+0.3701,-0.1250,+0.0079,+0.5272,+0.2819,+0.2263,+0.6295,+0.1271,+1.1240,+0.8113,+0.2527,+0.2603,+0.1724,+0.0135,+0.3424,+0.3205,+0.4924,+0.4630,+0.2331,+0.3543,+0.3795,+0.5114,+0.4067,+0.0737,+0.4924,+0.4435,+0.6091,+0.4214,+0.3630,+0.6048,+0.4437,+0.5198,+0.5667,+0.5336,+0.3648,+0.5773,+0.3918,+0.6002,+0.3816,+0.4246
Xayah,+0.1094,+0.1985,-0.0337,+0.4061,+0.1041,+0.4858,+0.0511,+0.3569,-0.0731,+0.3468,+0.2352,+0.1563,+0.1767,+0.2797,+0.3996,+0.1450,+0.3416,+0.1400,+0.2047,+0.2740,+0.1316,+0.3390,+0.1807,+0.4941,+0.5506,+0.1278,+0.3934,+0.1279,+0.1757,+0.1822,+0.2164,+0.1765,+0.3220,+0.5963,+0.3174,+0.2489,+0.4572,+0.2309,+0.3893,+0.3269,+0.1977,+0.2167,+0.3610,+0.3819,+0.4249,+0.2261,+0.2383,+0.4301,+0.3487,+0.4587
Jinx,+0.0754,+0.1884,+0.0180,+0.2363,+0.1744,+0.1720,+0.1364,-0.0633,-0.2754,+0.3214,+0.1666,+0.0355,-0.0798,+0.3393,+0.0451,+0.0267,+0.2965,+0.1844,+0.1984,+0.2200,-0.0476,+0.0453,+0.1644,+0.1556,+0.2064,+0.2205,+0.1991,+0.5169,+0.2212,+0.3034,+0.2344,+0.3135,+0.1548,+0.0880,+0.1694,+0.2253,+0.2039,+0.0741,+0.0828,+0.3775,+0.1231,+0.1565,+0.2965,+0.2005,+0.3383,+0.4306,+0.2477,+0.3606,+0.1934,+0.1403
Kalista,-0.2033,-0.2514,-0.0718,-0.1005,-0.1407,-0.0431,+0.0811,+0.2380,+0.1287,+0.3244,+0.2332,-0.1849,-0.0965,+0.2833,+0.0502,+0.1183,+0.2774,-0.1483,+0.1449,+0.3215,+0.0378,+0.2515,+0.1613,+0.1930,+0.2143,+0.1110,+0.1849,-0.2856,+0.1088,-0.0052,+0.0995,+0.1878,+0.2450,+0.1853,+0.2754,+0.3133,+0.3751,+0.1003,+0.2757,+0.0633,+0.1164,+0.2089,+0.3491,+0.1951,+0.3095,+0.0909,+0.2759,+0.2450,+0.0926,-0.0066
Zeri,+0.0570,+0.2355,-0.1576,+0.3774,-0.2450,+0.2134,+0.2037,-0.0095,+0.3241,+0.1260,+0.1205,-0.1452,-0.0780,+0.1267,+0.2257,+0.0058,+0.1115,+0.0434,+0.2998,+0.0353,+0.0908,-0.0632,+0.0530,-0.0606,+0.1682,+0.1542,+0.0773,+0.0581,+0.0079,+0.1556,+0.1347,+0.1616,+0.0051,+0.1104,+0.0507,+0.2287,+0.1553,+0.1574,+0.1365,-0.0006,+0.1512,+0.0303,+0.1891,+0.2506,+0.1091,+0.2061,+0.1571,+0.1811,+0.1767,+0.0713
Smolder,+0.2368,+0.0867,-0.1778,-0.2070,-0.1075,-0.1619,-0.1239,-0.1443,+0.0340,-0.1007,-0.0502,-0.1243,-0.1103,-0.0065,-0.1929,+0.0290,-0.0731,-0.0232,-0.1609,+0.0749,+0.0440,+0.0076,+0.0941,-0.1057,+0.2033,-0.0183,+0.0384,+0.0777,+0.1132,+0.3035,+0.0663,+0.2035,+0.0445,-0.0680,-0.0013,+0.1778,-0.0593,+0.0203,+0.0487,-0.1963,-0.0463,-0.0067,+0.0532,+0.0198,-0.0036,+0.0270,-0.1040,-0.1890,-0.0320,-0.0055
Tristana,+0.0177,-0.0176,+0.0520,+0.3889,-0.0770,-0.0941,+0.3488,+0.0335,+0.3283,+0.3431,+0.0993,-0.3032,-0.1012,+0.1670,+0.2824,+0.0986,+0.2649,-0.0718,+0.2694,+0.4611,+0.0078,+0.3654,-0.0577,+0.1181,+0.3931,+0.0225,+0.2699,-0.3090,+0.1570,+0.1425,+0.1247,+0.1768,+0.3042,+0.1784,+0.2813,+0.2355,+0.2523,+0.1719,+0.1756,+0.2064,+0.2728,+0.1890,+0.3142,+0.2939,+0.1707,+0.1450,+0.2519,+0.2259,+0.2937,+0.1286
Ziggs,-0.2520,-0.2453,-0.2414,+0.1056,-0.0699,-0.1868,-0.0656,-0.1096,-0.2309,+0.2207,-0.0807,-0.0897,-0.2538,+0.2049,-0.0465,-0.0245,+0.1990,+0.0901,+0.4000,+0.4952,+0.0690,+0.1706,+0.2643,-0.0682,-0.0688,+0.1021,+0.1580,+0.1922,+0.2051,-0.0388,+0.1849,+0.1278,+0.1141,+0.0111,+0.2075,+0.2382,+0.1129,+0.2150,+0.0182,+0.0115,+0.2056,+0.1572,+0.2456,+0.2079,+0.2003,+0.1524,+0.2491,+0.0956,-0.0170,+0.1105
Mel,-0.4334,-0.3850,-0.2157,-0.1845,-0.2922,-0.3577,-0.0634,-0.2574,-0.1140,+0.1304,-0.1608,-0.1842,-0.0762,+0.1803,-0.0791,+0.0518,+0.1630,+0.0570,+0.1925,+0.2191,-0.0869,+0.1569,+0.1613,-0.2947,-0.3362,+0.0195,+0.0281,+0.0900,+0.0116,-0.0634,+0.1644,+0.1789,+0.0204,-0.1814,+0.0748,+0.1443,+0.1538,+0.2379,+0.0578,-0.1187,+0.1052,+0.1455,+0.2546,+0.0416,+0.0454,+0.1744,-0.0449,-0.1006,-0.0597,-0.0731
Senna,-0.2060,-0.1740,-0.0804,-0.3112,-0.2010,-0.2961,-0.1383,+0.2194,-0.0605,+0.2919,-0.1601,-0.1275,-0.1057,+0.2441,-0.0227,+0.1935,+0.1465,-0.1289,-0.1777,+0.1215,+0.0460,+0.1306,+0.0142,-0.0659,-0.0047,+0.2707,+0.0807,+0.4204,-0.0297,-0.0036,-0.0261,+0.0841,+0.0887,-0.1122,+0.1061,+0.2214,+0.1428,+0.1595,+0.0170,-0.0365,+0.2277,+0.1829,+0.1392,+0.0819,+0.1395,+0.0570,-0.0473,-0.0025,+0.0518,-0.0674
Draven,-0.4525,-0.4635,-0.2415,-0.1933,-0.3708,-0.2574,+0.0030,-0.1576,-0.2391,+0.0882,-0.0634,-0.1944,+0.0354,+0.1714,-0.2418,+0.0979,+0.0354,-0.0242,-0.0618,+0.1194,-0.0404,+0.0858,+0.0014,-0.1213,-0.1904,+0.0340,+0.0933,+0.1848,+0.1368,-0.0533,+0.0084,-0.0257,+0.1532,+0.0153,+0.0164,+0.1075,+0.1663,+0.0358,-0.0438,-0.0785,+0.1884,-0.0285,+0.2135,+0.0125,+0.0877,+0.0447,+0.1318,-0.1620,-0.0735,-0.0153
Kog'Maw,-0.3108,-0.2358,-0.2872,-0.4677,-0.1080,-0.3033,-0.4403,-0.2095,-0.1696,-0.0744,-0.1723,-0.2046,-0.0424,-0.0117,-0.3976,+0.0058,-0.0856,-0.1516,-0.4964,-0.0503,-0.0935,-0.0737,-0.0374,+0.0066,-0.2830,+0.1102,-0.1566,-0.0658,-0.1060,-0.0763,-0.1769,-0.0383,-0.0196,-0.1996,-0.0348,-0.0454,-0.0986,-0.0379,-0.2288,-0.3754,-0.0221,-0.0146,-0.0164,-0.1475,-0.0504,-0.2103,-0.1025,-0.3211,-0.2316,-0.3758
Vayne,-0.0338,-0.2122,+0.0623,-0.8646,-0.1969,-0.5600,-0.5136,-0.3198,-0.0885,-0.0469,-0.3116,-0.3380,-0.1875,-0.0306,-0.6267,-0.0948,-0.0613,-0.1846,-0.7207,-0.1576,+0.0048,-0.1472,+0.0934,-0.1529,-0.2931,-0.0386,-0.1731,-0.0269,-0.0972,+0.0094,-0.1417,-0.1019,-0.1131,-0.3338,-0.0570,-0.0545,-0.0438,-0.0837,-0.3712,-0.5316,-0.0977,-0.0922,-0.0689,-0.1852,-0.1230,-0.3025,-0.2731,-0.5764,-0.2699,-0.4931
Seraphine,-0.2879,-0.2195,-0.2316,-0.3262,-0.3142,-0.4296,-0.3350,-0.1870,-0.3913,-0.0411,+0.0533,-0.1445,-0.2273,+0.1319,-0.3135,+0.0297,+0.1522,+0.0349,-0.3886,+0.0547,-0.0404,+0.0109,+0.1085,-0.0276,-0.3773,+0.0938,+0.1078,+0.0847,-0.0339,+0.0703,+0.0992,+0.1418,-0.1822,-0.1671,-0.0062,+0.0984,+0.1169,+0.0920,-0.1731,-0.1977,+0.2022,+0.1148,+0.1663,+0.0405,+0.0953,-0.0435,+0.0390,-0.1490,-0.1317,-0.2185
Yasuo,-0.5204,-0.5396,+0.0840,-0.7904,-0.6940,-0.6964,-0.3813,-0.3946,-0.2175,-0.0472,-0.2465,-0.3438,-0.2649,+0.0826,-0.4428,-0.0196,-0.0339,-0.1473,-0.4474,-0.0086,-0.0540,-0.0187,+0.0889,-0.1350,-0.5422,+0.0615,-0.0917,-0.1345,-0.1095,-0.1123,-0.0973,-0.0978,-0.0815,-0.3680,-0.0017,+0.0567,-0.0412,+0.0424,-0.2939,-0.4035,+0.0198,-0.0511,+0.0497,-0.1847,-0.1303,-0.2289,-0.0654,-0.5885,-0.3908,-0.4417
Twitch,-0.5893,-0.4357,-0.2038,-0.8302,-0.4083,-0.8457,-0.4815,-0.3315,-0.3060,-0.1017,-0.2781,-0.3257,-0.2891,+0.0528,-0.6541,-0.0178,-0.0126,-0.1032,-0.6581,-0.1005,+0.0025,-0.1072,+0.1004,-0.0855,-0.5710,+0.1084,-0.1244,+0.0471,-0.0852,-0.1740,-0.0557,-0.0478,-0.1872,-0.3364,+0.0148,-0.0068,-0.0102,-0.0334,-0.3598,-0.5929,+0.0113,-0.0264,+0.0205,-0.0561,-0.1314,-0.2056,-0.1675,-0.5832,-0.3014,-0.5105
Hwei,-0.3705,-0.1704,-0.1770,-0.5395,-0.1737,-0.4838,-0.2528,-0.1726,-0.3425,+0.2151,-0.1105,-0.1150,-0.2256,+0.2791,-0.2470,+0.0510,+0.2829,-0.0358,-0.0639,+0.2565,-0.0267,+0.0369,+0.1482,+0.0706,-0.1558,+0.0443,+0.1737,+0.2770,+0.0388,+0.0267,+0.0237,+0.2056,+0.0728,-0.1681,+0.1281,+0.2610,+0.1712,+0.1631,-0.0907,+0.0583,+0.1405,+0.1884,+0.2711,+0.1296,+0.1641,+0.0945,-0.0845,-0.0456,-0.0719,-0.0553
Nilah,-0.5891,-0.5683,-0.2091,-0.8293,-0.5139,-0.6230,-0.3390,-0.3298,-0.3917,-0.0927,-0.3005,-0.1837,-0.2980,+0.1039,-0.7122,+0.0211,+0.0185,-0.0468,-0.6556,-0.1328,-0.0408,-0.1230,+0.1126,-0.1010,-0.6527,+0.0928,-0.0304,-0.0088,-0.1074,-0.1581,-0.1850,-0.1232,-0.1042,-0.2511,+0.0384,-0.0200,-0.0016,+0.0328,-0.3208,-0.4851,-0.0590,-0.0438,+0.0341,-0.1647,-0.0611,-0.2855,-0.1735,-0.5308,-0.3405,-0.4789
