top\sup,Nautilus,Lulu,Bard,Nami,Neeko,Karma,Seraphine,Rakan,Alistar,Rell,Leona,Milio,Braum,Thresh,Renata Glasc,Pyke,Poppy,Anivia,Yuumi,Blitzcrank,Elise,Lux,Shen
Sion,-0.2456,+0.0600,-0.0442,+0.0487,-0.1389,-0.2114,-0.1651,+0.0795,-0.1475,-0.0761,+0.1799,+0.0294,-0.3406,+0.3517,+0.4183,-0.0462,+0.0644,+0.0253,-0.1287,+0.0608,-0.1945,+0.2767,+0.0032
K'Sante,+0.0612,+0.1009,-0.1917,-0.0966,-0.3833,+0.0265,-0.0481,+0.0244,-0.0068,+0.1267,-0.2748,-0.1543,-0.0192,-0.1315,-0.2496,-0.1056,+0.2072,-0.1211,+0.0639,-0.0927,-0.1523,-0.0119,-0.1974
Gnar,-0.0134,-0.1997,-0.1220,-0.2223,-0.0066,-0.3036,-0.1040,-0.1939,+0.1219,+0.0317,-0.0158,-0.1312,-0.1928,+0.0060,+0.1100,+0.2807,+0.2066,+0.1176,-0.1819,+0.1034,+0.1548,-0.0474,+0.1075
Rumble,+0.0455,-0.3566,+0.0955,-0.4990,-0.0073,-0.0455,-0.2841,-0.4543,-0.2892,+0.0116,-0.4503,-0.6075,-0.4015,-0.2357,-0.3789,-0.4806,-0.2515,-0.1546,-0.2284,-0.4508,-0.3892,-0.6055,+0.0020
Renekton,+0.0555,-0.3047,-0.1844,-0.1447,+0.0634,-0.2348,-0.2564,-0.1248,-0.0196,+0.0898,-0.1713,-0.0926,-0.3879,-0.1163,+0.1967,+0.0886,+0.0640,-0.2064,-0.4406,+0.0345,-0.1839,-0.2425,+0.0169
Ambessa,-0.0395,-0.3094,-0.2629,-0.1859,+0.3649,-0.5412,-0.3408,+0.2315,-0.1605,-0.3292,+0.3198,-0.0041,-0.2769,+0.3080,-0.0273,-0.2836,-0.0049,-0.2442,-0.4632,-0.1701,-0.2208,-0.2228,+0.1880
Jayce,+0.0421,-0.5003,-0.1054,-0.1516,-0.3121,-0.4746,-0.3766,-0.6097,-0.3413,-0.3160,-0.5180,+0.0428,-0.3182,+0.2439,+0.2735,+0.3380,+0.0864,-0.1344,-0.1941,+0.0746,+0.2455,+0.3508,+0.0646
Gwen,+0.1401,+0.0172,-0.2812,-0.7736,-0.0989,-0.4182,-0.1387,+0.0864,-0.0757,+0.1997,-0.0399,-0.0230,-0.1659,+0.2458,+0.4747,-0.0401,+0.2026,+0.0249,-0.5653,+0.0925,-0.0336,-0.1697,+0.1376
Ornn,-0.2114,-0.0974,-0.2115,+0.1094,-0.2649,-0.1308,-0.0064,+0.1563,-0.2277,+0.0181,+0.0779,+0.0769,+0.2306,-0.1697,+0.1034,-0.0313,+0.0265,-0.1596,-0.4756,-0.0736,+0.0962,-0.2246,-0.0153
Zaahen,+0.0647,-0.0943,-0.0308,+0.0538,+0.2475,+0.0915,-0.3683,-0.1168,-0.0624,+0.1837,+0.3440,+0.0236,-0.1817,+0.1352,-0.1934,-0.0195,+0.2367,-0.0528,+0.0610,+0.4541,-0.2724,-0.0818,-0.0566
Yorick,-0.0468,+0.0949,+0.3371,-0.5721,+0.3268,-0.0780,-0.0304,-0.1313,+0.1708,-0.0827,+0.3266,-0.1731,-0.4273,+0.2484,+0.1875,-0.0458,+0.1848,+0.2797,+0.1898,+0.0725,+0.0488,+0.2798,+0.0650
Jax,-0.0468,-0.5396,-0.2946,+0.0539,-0.2453,-0.2799,-0.4233,+0.6061,+0.3084,+0.4959,-0.1429,+0.1144,-0.0498,+0.2679,+0.4459,+0.1016,+0.5719,+0.1903,-0.1184,+0.2195,+0.2255,+0.2286,+0.0776
Aatrox,+0.0356,-0.0239,+0.0067,-0.2573,-0.2643,+0.0863,+0.0252,+0.4705,+0.2288,+0.3257,+0.6049,-0.3621,-0.0304,+0.0168,-0.2260,-0.0087,+0.2468,-0.1556,+0.1210,+0.1385,-0.3990,-0.0315,+0.0073
Vayne,-0.1724,-0.1878,-0.0249,-0.1266,+0.0115,+0.1483,+0.0344,+0.2890,+0.1574,-0.2830,+0.2286,+0.1508,+0.0350,+0.1763,+0.6231,+0.1804,+0.1959,+0.1798,+0.0255,+0.0483,+0.1463,+0.3002,+0.2708
Aurora,-0.0980,-0.3561,-0.1570,+0.1549,-0.1306,-0.0071,-0.2247,-0.1186,-0.0665,+0.1571,+0.1193,+0.0047,-0.2509,+0.0294,+0.0663,+0.0566,+0.0429,-0.1934,+0.1692,-0.0118,-0.2025,-0.1123,+0.0751
Kennen,+0.2047,+0.1710,-0.3859,+0.0825,-0.2616,-0.3493,-0.6919,+0.2864,+0.0154,-0.0272,-0.2541,-0.1235,+0.1310,-0.0903,+0.1968,+0.1413,-0.0045,-0.1909,-0.0846,+0.0931,-0.0758,-0.2728,+0.1622
Rek'Sai,-0.0805,-0.1707,-0.1714,-0.3470,-0.0988,-0.3164,-0.1518,+0.3551,-0.0746,+0.1482,-0.0051,-0.1376,-0.1946,+0.4156,+0.6056,-0.0597,+0.3421,-0.0516,-0.1239,+0.1724,+0.0613,+0.1391,-0.1091
Gragas,+0.0343,-0.1692,-0.0412,-0.1900,+0.1583,-0.0888,-0.3236,+0.5183,+0.3562,+0.2119,+0.2435,-0.6166,-0.1995,+0.1246,+0.7728,-0.1287,+0.3292,+0.1112,-0.1422,+0.2915,-0.0685,-0.0136,+0.1497
Varus,+0.2797,-0.5332,+0.0465,-0.5652,+0.0894,-0.0632,-0.5362,+0.1728,+0.3900,+0.2366,-0.0491,-0.5194,-0.2370,-0.1557,+0.0394,-0.1324,+0.0694,+0.2273,+0.0464,-0.0256,-0.2562,+0.0204,+0.0668
Anivia,+0.0194,+0.1050,+0.2204,+0.1258,+0.2303,-0.1593,-0.0499,-0.2179,+0.4471,+0.0950,+0.0173,+0.0254,+0.0553,-0.2476,-0.0059,+0.0166,-0.0176,+0.8304,+0.2398,+0.1476,+0.0986,+0.2958,+0.0655
Olaf,+0.2127,-0.2655,-0.4668,-0.2527,+0.2199,-0.5626,-0.0162,+0.0597,+0.0698,+0.0803,+0.0842,+0.2474,-0.1565,+0.1737,+0.3749,+0.1860,+0.2912,-0.1463,+0.0712,+0.1524,-0.1187,+0.0283,+0.1401
Malphite,-0.2357,-0.3407,-0.2734,+0.2668,-0.2752,-0.7056,-0.2894,+0.3227,+0.1757,+0.0133,+0.2981,+0.2354,-0.1481,+0.0859,+0.2826,-0.0673,+0.1426,-0.0738,+0.4111,+0.1731,-0.0417,+0.0449,+0.2691
Shen,-0.0565,+0.1296,-0.3322,-0.3415,-0.1262,-0.7146,-0.4802,+0.1261,-0.1272,-0.1495,-0.1287,+0.4629,-0.2945,+0.0668,+0.8760,+0.0017,+0.0407,+0.0036,+0.1345,-0.0483,-0.1094,+0.0970,+0.7850
Camille,+0.3389,-0.6755,-0.4934,+0.3231,-0.2836,-0.4271,-0.1043,+0.0420,+0.0492,+0.3646,+0.0793,+0.0839,+0.0105,-0.0392,+0.2282,+0.3059,+0.1140,-0.2964,+0.0955,+0.0263,-0.0812,-0.3211,-0.1408
Galio,-0.2072,-0.1277,+0.0002,-0.3436,+0.1593,+0.0700,-0.5741,+0.4608,-0.0466,-0.1082,+0.4894,-0.0384,-0.1782,+0.2953,+0.5345,-0.0339,+0.3205,-0.1192,+0.1076,-0.0940,-0.0136,+0.0375,+0.0697
