jng\mid,Ryze,Ahri,Aurora,Azir,Orianna,Viktor,Taliyah,Akali,Annie,Syndra,Galio,Anivia,Cassiopeia,Yone,LeBlanc,Mel,Sylas,Hwei,Twisted Fate,Zoe,Lissandra,Aurelion Sol,Jayce,Ziggs,Yasuo,Swain,Sion
Xin Zhao,+0.0577,+0.0231,+0.0428,+0.1026,+0.2250,-0.0549,-0.0380,-0.0053,-0.1278,-0.1328,-0.2304,+0.1455,-0.1271,-0.7560,-0.2181,+0.0104,-0.3044,-0.0993,-0.3128,-0.2613,-0.2848,-0.2304,-0.2188,-0.2606,-0.3255,-0.3660,-0.1780
Jarvan IV,+0.3605,+0.1968,+0.1911,+0.0575,+0.4443,-0.0714,+0.1354,+0.0672,-0.1902,-0.1146,-0.3038,-0.0441,+0.0347,-0.3339,-0.1586,+0.0288,-0.3498,-0.0727,-0.1988,-0.2682,-0.1192,-0.1852,+0.1196,-0.2270,-0.2755,-0.4151,-0.2051
Vi,-0.3200,+1.5677,+0.5806,-0.6191,+0.2603,-0.0789,+1.1025,+0.1296,-0.2839,-0.0576,+0.0316,-0.3063,-0.0056,-0.2640,-0.1120,-0.2477,-0.1095,-0.1556,-0.4372,-0.0867,+0.0902,-0.1266,-0.1253,-0.1196,+0.1624,-0.1379,-0.3261
Wukong,-0.0115,+0.4660,+0.2866,-0.0066,+0.4211,-0.0309,+0.2766,+0.4601,+0.3791,-0.0049,+0.3135,-0.2962,+0.1428,-0.3620,-0.0922,-0.0203,-0.2466,+0.0611,-0.1127,+0.0719,-0.0318,+0.1230,-0.3011,-0.3826,-0.3861,-0.0310,-0.0345
Pantheon,+0.0037,+0.0847,+0.1858,+0.2454,+0.0319,-0.2763,+0.7129,-0.0061,-0.2725,-0.1442,-0.1770,+0.1718,-0.0825,-0.4573,-0.2976,-0.1344,-0.1147,-0.3090,-0.0584,-0.2304,-0.1788,-0.2807,-0.0595,-0.1439,-0.3507,-0.3921,-0.2793
Nocturne,+0.1423,+0.2924,+0.6947,-0.1595,+0.7618,-0.2757,-0.0645,+0.3486,+0.2541,-0.0958,+0.3835,-0.1714,-0.0117,-0.5520,-0.2415,+0.2485,-0.1872,-0.3217,+0.3582,-0.0102,+0.1726,+0.0848,-0.1570,-0.0937,-0.1870,-0.2290,-0.1375
Dr. Mundo,-0.2136,+0.0524,-0.0558,+0.4040,+0.1834,+0.1474,-0.0298,+0.0303,-0.2566,+0.1556,-0.0008,+0.3768,-0.3248,-0.3803,-0.1944,+0.0989,+0.3232,+0.0448,-0.0097,-0.0444,-0.3521,-0.0333,-0.3024,-0.3146,-0.2066,+0.1226,-0.0925
Lee Sin,+0.3772,+0.1034,+0.2819,-0.2412,+0.2874,-0.1199,-0.1862,+0.1810,+1.1643,+0.1029,+0.1897,-0.4072,+0.4815,-0.1680,+0.4305,+0.0642,+0.1628,+0.0545,+0.5237,+0.3177,+0.5585,+0.2542,+0.1485,+0.2139,-0.1732,+0.1323,+0.2053
Naafiri,+0.1163,+0.2988,+0.1629,-0.0710,+0.1968,+0.0245,+0.0927,+0.0670,+0.4630,-0.0989,+0.5993,-0.0978,-0.2833,-0.2471,-0.1419,-0.0016,-0.0373,+0.0808,+0.2805,+0.1131,+0.0288,+0.1524,-0.3107,-0.1649,-0.1856,-0.0702,+0.0732
Aatrox,-0.1368,-0.0012,+0.0742,-0.3111,+0.2214,+0.1364,+0.1413,-0.2253,+0.0699,+0.3665,+0.2159,-0.0456,+0.2406,-0.7232,+0.3975,-0.2338,+0.2911,+0.4374,-0.1931,-0.1251,+0.1178,+0.1051,-0.1367,-0.0434,-0.0089,-0.1190,+0.0289
Skarner,-0.1860,-0.3297,-0.2515,+0.3941,-0.3286,+0.1518,+0.1014,-0.2518,-0.3566,-0.1993,-0.5377,+0.4777,-0.3040,+0.5168,-0.1535,+0.0825,-0.1121,-0.0155,-0.2549,-0.2565,-0.2623,-0.3258,-0.0582,-0.0336,+0.3667,+0.0142,-0.2026
Trundle,-0.0389,+0.1963,+0.1257,+0.1705,-0.0551,-0.1278,+0.0613,+0.1195,+0.0165,+0.0594,-0.0051,-0.0172,+0.2302,+0.1397,-0.0614,+0.0488,+0.0561,-0.1123,+0.1500,+0.0567,-0.1102,+0.0442,+0.1916,+0.2636,-0.0111,+0.1943,+0.0701
Ambessa,+0.3015,+0.3477,+0.0744,+0.0660,+0.2312,-0.0306,+0.2480,+0.0116,+0.0156,-0.0839,+0.2877,-0.1983,-0.1434,-0.2089,-0.0157,-0.3139,-0.0590,-0.0003,-0.0111,+0.0715,+0.0738,-0.1505,-0.0759,-0.0613,+0.1180,-0.0212,-0.1526
