top\bot,Yunara,Ezreal,Corki,Ashe,Varus,Sivir,Jhin,Caitlyn,Lucian,Kai'Sa,Aphelios,Miss Fortune,Xayah,Jinx,Kalista,Zeri,Smolder,Tristana,Ziggs,Mel,Senna,Draven,Kog'Maw,Vayne
Sion,+0.0572,-0.1485,-0.0733,-0.0144,-0.1525,-0.3559,+0.0177,-0.2147,-0.0704,-0.0290,+0.0777,+0.1723,+0.0404,+0.1314,+0.3447,-0.0713,-0.1248,+0.0013,-0.0904,-0.0826,-0.2527,-0.1201,-0.1639,+0.0149
K'Sante,+0.3029,-0.3055,+0.1317,+0.0292,+0.2168,+0.0624,-0.0711,-0.2209,-0.1457,-0.4561,-0.0291,-0.0112,-0.0334,-0.0683,-0.2882,+0.0690,+0.1044,-0.1616,+0.0962,-0.0519,-0.0859,-0.1762,-0.0619,-0.1087
Gnar,-0.2365,-0.1270,-0.0444,-0.2848,-0.0884,-0.3315,+0.1101,-0.1992,-0.1741,+0.2644,-0.1922,+0.0870,-0.0795,+0.0438,+0.1864,-0.0275,-0.1303,+0.1788,+0.2728,+0.1157,+0.0703,+0.0228,-0.0075,+0.0144
Rumble,-0.1417,+0.1127,-0.1819,-0.1440,+0.4650,-0.0315,+0.2185,-0.0243,-0.4090,-0.1668,-0.1803,-0.2941,-0.1301,-0.7031,-0.3251,-0.5613,-0.3660,-0.4961,-0.2103,-0.2541,-0.1975,-0.5138,-0.3929,-0.4090
Renekton,-0.2650,-0.1930,-0.1273,-0.3151,+0.0346,-0.2522,-0.1382,-0.4296,-0.0182,+0.0423,-0.1198,-0.0192,+0.0120,-0.1617,+0.1142,-0.4634,+0.0235,-0.2634,+0.3688,+0.1327,+0.0010,-0.0358,-0.0702,-0.0952
Ambessa,-0.2053,-0.0443,-0.0029,-0.4011,-0.0517,-0.1509,-0.2596,-0.2538,+0.0397,+0.5292,-0.2001,-0.0965,+0.3092,+0.1788,-0.0830,-0.6022,+0.0788,+0.0332,+0.0632,-0.1808,-0.2045,-0.1848,-0.2218,+0.0359
Jayce,-0.5234,-0.2710,-0.0969,-0.4329,-0.2818,-0.5057,-0.0923,-0.1270,+0.0233,-0.2312,-0.0837,-0.5168,-0.5219,-0.2341,+0.2392,-0.3290,-0.1369,-0.0158,+0.7306,+0.3594,+0.0015,-0.1386,-0.2408,-0.1674
Gwen,-0.2003,-0.3216,-0.6570,-0.3237,-0.0736,-0.1781,-0.0648,-0.3387,-0.2039,+0.1107,+0.4017,+0.2887,+0.1602,+0.1517,+0.4017,-0.4810,-0.3442,+0.1964,+0.1991,+0.2380,+0.1074,+0.1140,+0.0537,-0.0460
Ornn,+0.0677,+0.0458,+0.3368,-0.1160,-0.2514,-0.0494,-0.4721,-0.0489,+0.1712,-0.2843,+0.1636,-0.2754,+0.2625,+0.0362,+0.1177,-0.4679,+0.0079,-0.0683,-0.2211,-0.0546,-0.1814,+0.2147,+0.2810,+0.0652
Zaahen,-0.1419,+0.0158,+0.0636,-0.4743,-0.1727,+0.0902,+0.0450,-0.0890,+0.0997,+0.3416,+0.0890,+0.4690,-0.3353,+0.2213,-0.2274,-0.0454,+0.0585,+0.0127,+0.1625,+0.1471,-0.0610,+0.1556,+0.0135,-0.0882
