jng\sup,Nautilus,Lulu,Bard,Nami,Neeko,Karma,Seraphine,Rakan,Alistar,Rell,Leona,Milio,Braum,Thresh,Renata Glasc,Pyke,Poppy,Anivia,Yuumi,Blitzcrank,Elise,Lux,Shen
Xin Zhao,+0.2182,+0.1896,+0.2055,+0.1788,+0.1170,+0.7103,+0.4728,-0.1650,-0.0291,-0.1747,-0.0735,-0.1633,+0.1497,-0.2713,-0.0904,-0.1802,-0.3764,-0.0185,-0.3422,-0.1784,-0.0809,-0.1980,-0.1563
Jarvan IV,+0.1361,-0.1254,+0.3376,-0.0308,+0.0625,+0.4509,+0.2637,-0.1678,-0.4657,+0.0183,-0.4535,-0.3879,-0.0409,-0.1013,-0.5409,-0.0570,-0.3715,-0.2414,-0.5473,-0.4211,-0.1731,-0.4245,-0.2450
Vi,+0.0803,-0.2593,-0.0354,-0.1991,+0.0860,-0.4896,-0.5278,+0.1381,+0.1131,+0.0589,+0.0599,-0.3871,-0.5995,+0.1957,-0.2775,-0.3821,-0.2420,-0.5877,+0.1065,-0.4300,-0.8215,-0.6034,+0.2351
Wukong,+0.0297,-0.0453,-0.5259,-0.2240,+0.2380,-0.1581,-0.0489,+0.3533,-0.0624,+0.1914,-0.0475,+0.0162,-0.0343,-0.0374,+0.1066,-0.2430,-0.1864,-0.4394,-0.1475,-0.4038,-0.4647,-0.7288,-0.0976
Pantheon,+0.2615,+0.1770,+0.3214,+0.1428,+0.2035,+0.0993,+0.1240,-0.3198,-0.0937,-0.0885,-0.0103,-0.2254,+0.0001,+0.1477,-0.6611,-0.1421,-0.5106,-0.0107,-0.6307,-0.4266,-0.2008,-0.3264,-0.1330
Nocturne,-0.1948,-0.2633,-0.2652,-0.1657,+0.9870,-0.3266,-0.4691,+0.2032,-0.0618,+0.3077,-0.0113,+0.0335,-0.4897,-0.3058,-0.0726,+0.1314,-0.0606,-0.2000,-0.0703,-0.4448,-0.4373,-0.3399,+0.0026
Dr. Mundo,-0.1034,+0.1752,-0.0083,+0.6226,+0.0360,+0.2498,+0.0651,+0.3669,+0.3795,+0.4394,+0.0996,-0.4651,-0.0376,-0.0019,-0.0164,-0.0136,+0.0159,+0.2810,+0.3225,+0.1909,-0.2714,-0.1439,-0.0496
Lee Sin,+0.0903,-0.2064,-0.2842,-0.4652,+0.2584,-0.5162,-0.4608,+0.2544,+0.0164,+0.0548,-0.1578,-0.0692,-0.5081,-0.1771,+0.2768,+0.4126,+0.5715,-0.1903,-0.1035,+0.1486,+0.1115,+0.0489,+0.0524
Naafiri,-0.1330,-0.4455,-0.3344,-0.1967,+0.3359,-0.2992,+0.0053,+0.3878,+0.0333,+0.0024,+0.5753,-0.1100,-0.4673,-0.0663,+0.5559,-0.0400,+0.1667,-0.0368,-0.3675,-0.1503,-0.3670,-0.2720,+0.1497
Aatrox,+0.1652,+0.1162,+0.1008,-0.2781,-0.0783,-0.0193,+0.2403,+0.5573,+0.2321,+0.2298,+0.4810,-0.5708,+0.0174,-0.0507,-0.2831,-0.0374,+0.2418,-0.1928,-0.1496,+0.0729,-0.4115,-0.2315,-0.1238
Skarner,+0.0915,+0.4530,+0.1331,+0.2215,+0.0277,-0.1748,-0.1239,-0.5894,+0.1504,-0.1105,-0.2387,+0.1104,+0.1036,-0.3110,-0.4164,-0.0620,-0.3690,+0.4121,+0.5245,+0.0333,-0.0586,+0.1617,+0.1356
Trundle,+0.1724,+0.2809,+0.1414,-0.3155,-0.2025,+0.0174,-0.2657,+0.0203,+0.0760,+0.0447,-0.0671,+0.1181,-0.1206,+0.1055,+0.1231,-0.0288,+0.1184,-0.0199,+0.2940,+0.1705,-0.0881,-0.0092,+0.0098
Ambessa,+0.3052,-0.2284,-0.1452,+0.0751,+0.4663,-0.3653,+0.0720,+0.0540,-0.1790,-0.0669,+0.3238,-0.2766,-0.1582,-0.0450,-0.4457,-0.2140,-0.0302,-0.2965,-0.6337,-0.0752,-0.2766,-0.4372,+0.0025
Zaahen,+0.1918,+0.0924,-0.2004,+0.1324,+0.2123,+0.1240,-0.1158,+0.2498,+0.0817,+0.4233,+0.6057,-0.2484,-0.1075,-0.0328,-0.3130,-0.0613,+0.0732,-0.2272,-0.0346,+0.2975,-0.5689,-0.4146,-0.1537
Qiyana,-0.2262,-0.4709,-0.0653,-0.0489,-0.0404,-0.0968,-0.3055,+0.0458,+0.1968,+0.0834,+0.1305,-0.1131,-0.2784,+0.0904,+0.1835,-0.1481,+0.1009,+0.0131,+0.0354,+0.0100,+0.0768,+0.2333,-0.0777
Jayce,+0.1964,-0.3070,+0.1502,-0.4328,+0.1582,-0.3240,-0.5053,-0.3781,-0.1402,-0.1911,-0.1804,-0.3782,-0.3610,+0.2751,+0.0357,+0.1968,+0.1547,-0.0936,-0.2621,+0.1555,+0.1519,+0.1638,-0.0092
Sejuani,+0.0958,-0.5039,-0.4944,+0.1465,+0.2191,-0.6599,-0.4503,+0.4102,+0.1394,+0.5554,-0.0152,+0.0420,-0.0586,-0.3751,+0.0471,+0.2781,+0.1521,-0.1625,-0.0975,+0.5322,+0.2049,-0.4325,+0.0853
Malphite,-0.3101,-0.3066,-0.1737,+0.2363,-0.1124,-0.6748,-0.3376,+0.1550,+0.1343,-0.0370,+0.1541,+0.2286,-0.1838,+0.0920,+0.0924,-0.1113,+0.0843,-0.1176,+0.2923,+0.0497,+0.0523,+0.0439,+0.1902
Viego,-0.1614,+0.1031,-0.4486,-0.4405,-0.3633,-0.6931,-0.4440,+0.5910,-0.0299,+0.0486,+0.5006,+0.0242,-0.0880,+0.3738,+0.6246,-0.0639,+0.2931,-0.1967,+0.2850,+0.1053,-0.4265,-0.0547,+0.1640
Maokai,+0.0846,-0.4541,-0.1881,-0.2574,-0.5869,-0.0893,-0.0625,+0.0612,+0.3453,+0.4997,-0.0456,+0.0087,+0.2496,-0.0242,+0.3453,+0.2140,+0.4197,+0.1225,+0.3368,+0.4945,+0.5581,+0.0739,-0.0306
Poppy,-0.2895,-0.5190,+0.2658,-0.0850,-0.1039,-0.0197,-0.3257,+0.0518,-0.0451,-0.0343,+0.0285,-0.0103,-0.1842,+0.2351,+0.6905,+0.0715,+0.8914,+0.2074,-0.1141,+0.2325,+0.4901,+0.6482,+0.1215
Kha'Zix,-0.2659,+0.0764,-0.2060,+0.0080,-0.2746,-0.0138,-0.2600,-0.0159,-0.1604,-0.0838,-0.0927,+0.3708,-0.0193,+0.4133,+0.4393,+0.0216,+0.2432,+0.1320,-0.0030,+0.0608,+0.1375,+0.2686,+0.0420
Jax,-0.0367,-0.6241,-0.3832,+0.1518,-0.1757,-0.2994,-0.0700,+0.4628,+0.2370,+0.3678,-0.0857,-0.0620,+0.0015,+0.1910,+0.4281,+0.1190,+0.4656,+0.1506,-0.3977,+0.1820,+0.1825,+0.1388,+0.0738
Nidalee,+0.4092,-0.4436,-0.0182,-0.3474,+0.2509,-0.0450,-0.3434,+0.0055,+0.0730,+0.1782,-0.0092,-0.2451,-0.0525,-0.0167,+0.2272,+0.3469,+0.2108,-0.0497,-0.0171,+0.3548,+0.4659,+0.1550,+0.0138
Olaf,+0.2137,-0.3415,-0.2847,-0.2507,+0.0529,-0.4652,+0.3275,-0.0627,+0.0767,+0.0164,+0.0834,+0.4345,-0.0323,+0.1512,+0.3853,+0.2127,+0.2593,-0.0654,+0.1249,+0.1275,+0.0632,+0.2345,+0.0894
Rek'Sai,-0.0919,-0.0599,-0.1144,-0.3760,-0.2294,-0.1497,+0.2338,+0.4324,-0.1015,+0.0257,+0.0563,-0.2833,-0.0644,+0.3828,+0.5024,-0.1289,+0.3222,-0.0087,-0.3263,+0.2752,+0.2175,+0.2340,-0.1045
Sylas,+0.0513,-0.0115,-0.1522,-0.2514,-0.0607,+0.0319,+0.0135,+0.5573,+0.2732,+0.2663,+0.3766,-0.5297,-0.0585,-0.0717,-0.0726,+0.1256,+0.1285,+0.0017,-0.1616,+0.3947,-0.1703,+0.0114,+0.0977
Volibear,-0.2401,-0.5363,-0.1482,+0.1246,-0.5932,-0.1132,-0.1841,+0.1939,+0.0528,-0.1275,+0.1761,+0.0523,+0.0740,+0.3171,+0.4397,+0.0136,+0.1686,+0.0704,-0.0690,+0.1347,+0.0310,+0.2161,+0.1154
Zyra,-0.0432,-0.2784,-0.1494,-0.3263,+0.0579,-0.3278,-0.5221,+0.6944,+0.1486,+0.3915,+0.2420,-0.2462,-0.1886,+0.1121,+0.3478,+0.1437,+0.4909,+0.3447,-0.3364,+0.5241,+0.2872,+0.1273,+0.1615
Shen,-0.0576,+0.0623,-0.2715,-0.2487,+0.0141,-0.6961,-0.2396,+0.2686,-0.0272,-0.0672,+0.0938,+0.1941,-0.2035,+0.0788,+0.5315,-0.0330,-0.0028,-0.0194,+0.0248,+0.0084,-0.2290,-0.0309,+0.6922
