top\jng,Xin Zhao,Jarvan IV,Vi,Wukong,Pantheon,Nocturne,Dr. Mundo,Lee Sin,Naafiri,Aatrox,Skarner,Trundle,Ambessa,Zaahen,Qiyana,Jayce,Sejuani,Malphite,Viego,Maokai,Poppy,Kha'Zix,Jax,Nidalee,Olaf,Rek'Sai,Sylas,Volibear,Zyra,Shen
Sion,+0.0225,-0.0087,-0.1145,+0.0750,-0.0868,-0.0405,-0.0061,+0.1601,+0.1126,-0.0194,-0.2466,+0.1511,-0.1614,+0.0001,+0.4018,+0.2487,-0.2835,+0.0142,+0.2122,-0.2134,-0.0059,+0.2517,-0.0818,-0.1118,+0.1743,+0.2322,-0.0193,+0.0434,-0.0444,+0.0574
K'Sante,+0.0254,-0.0212,+0.0165,-0.0003,-0.1820,-0.0376,-0.0544,+0.2093,-0.2196,+0.1899,-0.0254,+0.0646,-0.0158,+0.0658,+0.0883,+0.1080,-0.2044,+0.1271,+0.0187,+0.1347,+0.1918,+0.0795,+0.0548,-0.2418,-0.1450,+0.1132,-0.0308,-0.1168,-0.0630,-0.2687
Gnar,-0.2423,-0.2398,-0.0748,+0.0870,+0.0255,+0.0174,+0.0602,+0.5367,+0.1491,+0.0225,-0.0806,+0.0318,+0.0027,-0.1607,+0.0739,+0.2226,+0.1946,+0.2149,+0.1042,+0.1899,+0.2220,+0.0409,+0.3062,+0.0903,+0.0499,-0.0765,+0.2189,+0.0025,+0.3313,+0.1113
Rumble,+0.0643,+0.6520,+1.1575,+0.2592,+0.4010,+0.0770,-0.0612,-0.4388,+0.0075,-0.1094,+0.4378,-0.1032,+0.2678,-0.1315,-0.2717,+0.1221,+0.0553,-0.1582,-0.0603,-0.0170,-0.2799,-0.1820,-0.2527,-0.3431,-0.4254,-0.1047,-0.2903,-0.2495,-0.0184,-0.0086
Renekton,+0.0579,+0.1847,+0.1038,+0.0572,+0.0397,+0.0914,-0.1144,+0.1521,+0.0137,-0.1774,-0.1755,+0.2182,+0.0088,+0.0664,+0.1030,+0.1887,+0.4264,+0.0108,-0.1326,+0.2865,+0.0828,+0.1083,+0.1154,+0.3872,+0.1506,+0.0020,+0.0323,+0.1404,-0.0744,+0.1122
Ambessa,-0.3702,-0.1732,+0.5537,+0.0576,+0.1493,+0.2513,-0.2640,+0.1571,+0.4243,+0.0251,-0.0168,-0.0855,+0.9498,+0.0588,-0.0631,+0.2194,+0.1093,+0.2749,+0.3314,-0.3560,-0.0472,-0.1741,+0.0041,-0.0699,-0.0606,-0.0387,+0.0253,+0.0123,+0.1670,+0.2302
Jayce,-0.1380,+0.3271,+0.0921,-0.3686,+0.1561,+0.1209,-0.3013,+0.1077,-0.3169,-0.2666,-0.0631,+0.2704,-0.0215,-0.1214,+0.0740,+1.0692,+0.3014,+0.3098,-0.1907,+0.3610,+0.2362,-0.0337,-0.0721,+0.2807,+0.0654,+0.1252,+0.0375,+0.0962,+0.2549,+0.0375
Gwen,-0.0936,-0.0225,-0.1051,+0.2508,-0.0892,+0.0327,-0.1675,-0.0108,+0.3412,-0.0567,-0.0708,+0.2288,-0.0425,-0.0173,-0.0055,+0.0157,+0.4878,-0.1507,+0.2261,+0.4591,+0.2040,+0.2479,+0.3624,+0.1939,+0.1560,+0.2373,-0.0989,+0.0001,+0.5548,+0.2230
Ornn,-0.0583,+0.0598,-0.4714,+0.0423,-0.0849,-0.0234,+0.0494,+0.0289,+0.1560,+0.2742,-0.2648,-0.1784,+0.0857,+0.0125,-0.2065,-0.2182,+0.0930,+0.0856,-0.0313,+0.1981,+0.1640,+0.1141,+0.3223,-0.1529,-0.2291,+0.0040,+0.0793,+0.0810,+0.2083,+0.0284
Zaahen,-0.2323,-0.1481,+0.1182,-0.1328,-0.0598,+0.1997,+0.0072,+0.0452,+0.0833,+0.0808,-0.0994,+0.1867,+0.1425,+0.6134,-0.0310,+0.1138,+0.1801,+0.1657,+0.0723,+0.3041,+0.0807,+0.1085,-0.0709,+0.1347,+0.0397,+0.1348,-0.0334,+0.0909,+0.1340,-0.0497
Yorick,-0.0809,-0.2083,+0.0963,-0.0250,+0.0988,+0.0988,-0.1611,+0.3354,+0.1896,+0.0623,-0.2161,+0.1610,-0.1205,+0.1154,+0.1925,+0.2172,-0.2139,+0.2702,+0.0374,+0.0127,+0.0708,-0.0355,-0.1898,-0.0017,+0.2203,+0.0765,+0.0365,+0.0331,-0.0277,+0.0788
Jax,-0.2166,-0.3352,-0.2676,+0.2163,-0.5420,-0.0917,+0.4760,+0.3431,+0.2766,-0.1084,-0.2085,+0.0292,-0.3132,-0.1530,-0.0406,-0.2463,+0.6632,-0.2214,+0.1282,+0.8023,+0.6689,+0.5156,+1.2223,+0.1460,+0.2912,+0.3130,+0.0418,+0.1915,+0.6975,+0.0657
Aatrox,-0.2921,-0.3272,+0.1170,+0.0223,-0.1417,-0.0016,+0.1097,+0.0735,+0.0234,+0.9798,-0.1750,-0.0797,+0.0811,+0.2733,+0.0329,-0.1730,-0.2412,+0.3410,+0.5264,-0.1897,+0.1379,-0.0138,+0.0101,-0.1182,-0.0351,-0.0918,+0.3522,+0.1617,+0.0708,-0.0100
Vayne,-0.1758,-0.4207,-0.2444,-0.1562,-0.3813,-0.1420,-0.0247,+0.2154,+0.3586,-0.1340,-0.0519,+0.0321,-0.0215,-0.2196,-0.0088,-0.1009,+0.0213,+0.0034,+0.0910,-0.0031,+0.2856,+0.0017,+0.2074,-0.0199,+0.1460,+0.0313,+0.1384,+0.1160,+0.2174,+0.2142
Aurora,-0.0930,-0.0906,+0.3324,+0.1280,-0.0706,+0.2833,-0.0058,+0.2521,+0.0415,-0.0282,-0.1574,+0.0298,-0.0991,+0.1975,+0.2660,+0.0749,-0.0383,+0.1015,+0.1267,-0.0772,-0.0233,+0.0275,-0.0424,+0.0056,+0.0075,-0.1008,+0.1049,+0.1246,-0.1219,+0.0507
Kennen,-0.1621,-0.0831,+0.0551,+0.0529,-0.1574,-0.0374,-0.2908,+0.2766,-0.0792,-0.1028,+0.0947,+0.0123,-0.0084,-0.1225,-0.0796,+0.0602,+0.5206,+0.0930,+0.1460,+0.3316,-0.0564,+0.1141,+0.1934,+0.2541,-0.0877,+0.0063,+0.0840,+0.1651,+0.2273,+0.1749
Rek'Sai,-0.1481,-0.1434,-0.0816,+0.1489,-0.2808,-0.0347,-0.1173,+0.1857,+0.1043,-0.0884,-0.0906,+0.1408,-0.0469,+0.0946,+0.1918,+0.1039,+0.2217,-0.0110,+0.2189,+0.3782,+0.2619,+0.0795,+0.3389,+0.1184,+0.2315,+0.6567,-0.0428,+0.0499,+0.2801,-0.0956
Gragas,-0.2527,-0.3073,+0.1657,+0.0139,-0.3370,-0.3182,+0.3438,+0.0390,+0.2634,+0.2779,+0.0225,-0.0848,+0.0461,+0.1367,-0.0251,-0.0111,+0.2090,+0.1864,+0.2157,+0.3598,+0.3371,-0.0976,+0.4806,-0.0959,+0.0668,+0.1674,+0.2985,+0.1068,+0.3820,+0.1575
Varus,+0.0294,-0.1602,+0.1989,+0.1103,-0.0533,-0.0428,+0.0688,+0.0661,+0.2030,+0.1581,+0.1072,-0.1516,-0.1436,+0.0508,+0.1171,-0.0241,-0.0230,+0.0535,+0.1743,+0.1871,+0.0086,-0.0739,+0.1756,-0.0581,+0.0718,-0.0642,+0.0881,+0.1412,+0.0416,+0.0826
Anivia,+0.0111,-0.1883,-0.3386,-0.2784,+0.1091,-0.1120,+0.2688,-0.1656,-0.0090,-0.1157,+0.3766,+0.0391,-0.2282,-0.0964,-0.0018,-0.0587,+0.0290,-0.0202,-0.0385,+0.1568,-0.0815,+0.0699,+0.0359,-0.0448,-0.0118,-0.0689,+0.0307,+0.0857,+0.2041,+0.1000
Olaf,-0.2419,-0.2758,+0.1271,+0.2500,-0.3362,+0.2776,-0.2249,+0.5191,+0.2256,-0.0242,-0.2229,+0.1186,+0.0678,+0.0799,+0.0889,+0.1634,+0.3236,+0.0345,+0.2120,+0.1261,+0.1695,+0.0598,+0.2773,+0.2341,+0.6573,+0.1370,+0.0235,+0.0115,+0.0687,+0.1891
Malphite,-0.4870,-0.6278,+0.1615,-0.1000,-0.3031,-0.1734,-0.0474,+0.1336,-0.0274,+0.3786,-0.0630,+0.0780,+0.0898,+0.1646,+0.2225,+0.1838,+0.1738,+1.0305,+0.3747,+0.3580,+0.1112,-0.1071,-0.0063,+0.0745,+0.0504,+0.0770,+0.3135,+0.2141,+0.2915,+0.2776
Shen,-0.1379,-0.2077,+0.1540,+0.0246,-0.2056,+0.1300,-0.1471,+0.1944,+0.1961,-0.2011,+0.0207,+0.0874,-0.0638,-0.2244,-0.0486,-0.0331,+0.0893,+0.1857,+0.1411,-0.1096,+0.1527,+0.0671,+0.0866,+0.0386,+0.1758,-0.1129,+0.0349,+0.0672,+0.1360,+0.8343
Camille,-0.3503,-0.2354,+0.0364,+0.1589,-0.3870,+0.0755,-0.0011,+0.0420,+0.2769,+0.1191,-0.1061,-0.1420,+0.1553,+0.2565,+0.0659,+0.0279,+0.3736,+0.1605,+0.2179,+0.5534,+0.1387,-0.1674,+0.3544,+0.1676,+0.1816,+0.0477,+0.0082,+0.1020,+0.1838,-0.1351
Galio,-0.3215,-0.3166,-0.2288,+0.0721,-0.2771,+0.1135,-0.1010,+0.1953,+0.3969,+0.1486,-0.3632,-0.0480,+0.1609,+0.1808,+0.2236,+0.0349,+0.0929,+0.1327,+0.4780,+0.1011,+0.2870,-0.0334,+0.0958,+0.2226,+0.1242,+0.0584,+0.1274,+0.2622,+0.1600,+0.0433
Fiora,-0.3366,-0.1373,-0.1639,-0.0870,-0.3268,-0.2478,+0.0695,+0.0487,-0.1034,-0.0324,-0.0330,+0.0912,-0.0448,-0.1025,+0.0530,+0.2016,+0.1742,-0.0031,+0.1852,+0.2335,+0.3426,+0.0356,+0.2655,+0.0979,+0.0872,+0.1564,+0.1669,+0.1997,+0.2592,+0.1327
Irelia,-0.1229,-0.2827,-0.0130,-0.0315,-0.2577,-0.1418,-0.0067,+0.1401,+0.0497,-0.2226,+0.0249,+0.0147,-0.1822,-0.1686,+0.1183,+0.0058,+0.3245,+0.0099,+0.2670,+0.2348,+0.1844,+0.1646,+0.2826,+0.3645,+0.2324,+0.0680,+0.1043,+0.2492,+0.2629,+0.1512
